UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	1	1	auditory|speech	#FEE188	0.217568946172687
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	2	1		#FEE188	0.222931927825649
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	3	1	da|integration	#FDAD4A	0.4491479224407
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	4	1		#FECB68	0.344523810014957
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	5	1	physical|psychophysical|tactile	#FEE188	0.200197254850747
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	6	1		#FEE188	0.247650829702555
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	7	1	somatosensory|stimulation	#FFF1A9	0.198065695096208
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	8	1	painful|pain	#FEE188	0.212521515148544
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	9	1		#FEE188	0.251432124466313
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	10	1	ratings	#FEE188	0.287044032734206
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	11	1	affective|affect	#FEE188	0.235142387892548
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	12	1	emotions	#FECB68	0.382734494348054
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	13	1	expression|expressions|facial	#F03623	0.735233786299085
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	14	1		#F03623	0.767158651826438
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	15	1		#F03623	0.726121315266889
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	16	1	emotion|motion|neutral	#FD913D	0.548105189792129
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	17	1	rating	#FECB68	0.34548662223026
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	18	1	negative|positive	#FECB68	0.358115314775043
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	19	1		#FDAD4A	0.464299629725903
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	20	1	ear|order	#FECB68	0.392473903162243
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	21	1	motor	#FEE188	0.275146325399485
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	22	1	visual	#D7141E	0.808169015349564
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	23	1	age|image|response	#FD913D	0.50385701389076
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	1	2	sound|sounds	#FFF1A9	0.114524368170738
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	2	2		#FEE188	0.213210731919927
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.445600162086314
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	4	2		#FECB68	0.348852195446837
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	5	2		#FEE188	0.286813677100302
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	6	2		#FEE188	0.257650479371346
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	7	2	sensation	#FEE188	0.224546459655881
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	8	2	heat|noxious	#FFF1A9	0.18254163977025
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	9	2		#FEE188	0.249656275794321
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	10	2		#FEE188	0.281668805980236
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	11	2		#FECB68	0.317793430833305
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	12	2	valence	#FECB68	0.300228647383858
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	13	2	person|social	#FDAD4A	0.429382477055976
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	14	2		#F03623	0.782742245338692
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	15	2	face|faces	#B10026	1
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	16	2		#F03623	0.709661137075983
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	17	2		#FD913D	0.592265555805256
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	18	2		#FD913D	0.535936554762021
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	19	2		#FD913D	0.515002355546198
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	20	2		#FD913D	0.509145933710441
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	21	2	images|spatial	#FC622F	0.600381053109302
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	22	2	control	#FDAD4A	0.472344735130079
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	23	2	time	#FD913D	0.510465084208058
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.116340958264873
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	2	3	noise|tones	#FEE188	0.202759932226092
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	3	3		#FEE188	0.27550408303327
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	4	3		#FECB68	0.315231671186817
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	5	3	frequency	#FEE188	0.268728689134492
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	6	3		#FEE188	0.289243505099552
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	7	3		#FEE188	0.23447289316217
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	8	3	temperature	#FFF1A9	0.111434809770659
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	9	3		#FEE188	0.260545098786824
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	10	3	pleasant|unpleasant	#FECB68	0.333618949554099
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	11	3	anxiety	#FFF1A9	0.195757597502621
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	12	3		#FDAD4A	0.428907469295255
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	13	3		#FC622F	0.601636092389958
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	14	3		#F03623	0.71972046572965
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	15	3		#D7141E	0.803852721572127
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	16	3	picture	#D7141E	0.878992612802662
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	17	3		#F03623	0.769978040023116
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	18	3	value	#FD913D	0.584538671937978
04993e0a-4739-3bc5-8628-5cdb99944d48	Bentin S	19	3	cue	#FDAD4A	0.493196665773588
