UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	1	1	auditory|speech	#FC622F	0.667563200244031
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	2	1		#FC622F	0.631716615065725
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	3	1	da|integration	#D7141E	0.842670880500791
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	4	1		#D7141E	0.879733277258658
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	5	1	physical|psychophysical|tactile	#FD913D	0.584903284452917
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	6	1		#F03623	0.725504463775972
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	7	1	somatosensory|stimulation	#FC622F	0.669335987361756
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	8	1	painful|pain	#FDAD4A	0.456609613419968
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	9	1		#FD913D	0.570556785201691
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	10	1	ratings	#FC622F	0.642649190419397
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	11	1	affective|affect	#FDAD4A	0.486204776427045
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	12	1	emotions	#FD913D	0.512511857565978
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	13	1	expression|expressions|facial	#FECB68	0.385231463039941
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	14	1		#FC622F	0.606315685635489
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	15	1		#FC622F	0.638456158168042
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	16	1	emotion|motion|neutral	#FC622F	0.626242476749214
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	17	1	rating	#FC622F	0.682263528995199
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	18	1	negative|positive	#FC622F	0.68526901690556
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	19	1		#D7141E	0.848424572077349
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	20	1	ear|order	#D7141E	0.806695344019018
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	21	1	motor	#F03623	0.786507307384784
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	22	1	visual	#F03623	0.767182408549665
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	23	1	age|image|response	#D7141E	0.818155511258207
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	1	2	sound|sounds	#FDAD4A	0.437243466692613
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	2	2		#FD913D	0.582853810055557
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.608091419970786
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	4	2		#D7141E	0.897592049957135
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	5	2		#D7141E	0.854237071998426
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	6	2		#F03623	0.776854752421976
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	7	2	sensation	#FDAD4A	0.431718690199561
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	8	2	heat|noxious	#FDAD4A	0.46592723438205
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	9	2		#FD913D	0.585010944086774
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	10	2		#FC622F	0.614709350294123
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	11	2		#FC622F	0.613164091053656
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	12	2	valence	#FD913D	0.504839766830047
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	13	2	person|social	#F03623	0.724472845435731
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	14	2		#FC622F	0.623823965248892
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	15	2	face|faces	#FD913D	0.514851319019003
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	16	2		#F03623	0.728050949874275
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	17	2		#F03623	0.774330397375109
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	18	2		#D7141E	0.860438950561639
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	19	2		#D7141E	0.890727601290624
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	20	2		#D7141E	0.882801790548999
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	21	2	images|spatial	#D7141E	0.833485144137643
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	22	2	control	#D7141E	0.809572713938649
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	23	2	time	#D7141E	0.855856642257869
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.330139288920125
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	2	3	noise|tones	#FECB68	0.399064699888016
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	3	3		#F03623	0.761018690389508
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	4	3		#D7141E	0.887360718441481
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	5	3	frequency	#D7141E	0.858514124673596
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	6	3		#B10026	0.90998978953307
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	7	3		#FD913D	0.57395598454607
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	8	3	temperature	#FDAD4A	0.448075788062765
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	9	3		#FD913D	0.568564692686643
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	10	3	pleasant|unpleasant	#FDAD4A	0.461208966140004
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	11	3	anxiety	#FEE188	0.298577821892335
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	12	3		#FC622F	0.633794179763554
04c45283-23eb-3553-a761-58831b1dc447	Phillips JP	13	3		#F03623	0.739672214510702
