UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	1	1	auditory|speech	#FECB68	0.307007947525411
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	2	1		#FEE188	0.27312351940483
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	3	1	da|integration	#FDAD4A	0.470161036853059
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	4	1		#FD913D	0.544922967651842
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	5	1	physical|psychophysical|tactile	#FD913D	0.586270249812891
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	6	1		#FD913D	0.564284208029114
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	7	1	somatosensory|stimulation	#FDAD4A	0.479272467880132
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	8	1	painful|pain	#FECB68	0.362961137483312
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	9	1		#FDAD4A	0.404497909999117
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	10	1	ratings	#FECB68	0.367593859139152
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	11	1	affective|affect	#FECB68	0.364824054697169
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	12	1	emotions	#FECB68	0.305365165429829
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	13	1	expression|expressions|facial	#FEE188	0.227234752683456
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	14	1		#FECB68	0.356920207082041
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	15	1		#FDAD4A	0.4020665126659
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	16	1	emotion|motion|neutral	#FDAD4A	0.406762853736204
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	17	1	rating	#FECB68	0.384551245954024
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	18	1	negative|positive	#FDAD4A	0.445978114762104
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	19	1		#FC622F	0.634161842168863
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	20	1	ear|order	#FC622F	0.648218378381006
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	21	1	motor	#FC622F	0.637308116985166
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	22	1	visual	#F03623	0.734199671068487
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	23	1	age|image|response	#FC622F	0.637796126430194
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	1	2	sound|sounds	#FFF1A9	0.146131546053279
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	2	2		#FEE188	0.240450296241367
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.250902756935344
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	4	2		#FD913D	0.558942487723172
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	5	2		#FC622F	0.604406851473619
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	6	2		#FD913D	0.591210393322688
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	7	2	sensation	#FECB68	0.389045265921617
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	8	2	heat|noxious	#FECB68	0.364230817959222
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	9	2		#FDAD4A	0.41132452486625
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	10	2		#FECB68	0.395733338238407
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	11	2		#FECB68	0.378654805565141
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	12	2	valence	#FEE188	0.233468439225794
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	13	2	person|social	#FECB68	0.308318434192338
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	14	2		#FECB68	0.376555864981789
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	15	2	face|faces	#FDAD4A	0.413884668024793
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	16	2		#FDAD4A	0.472310557552935
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	17	2		#FD913D	0.509938747537447
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	18	2		#FC622F	0.615739470133476
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	19	2		#FC622F	0.687540178735135
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	20	2		#F03623	0.743233768229823
06186ac7-3d18-3c25-98df-d3f3e30a9056	Wahlund LO	21	2	images|spatial	#F03623	0.733200825551745
