UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	1	1	auditory|speech	#FDAD4A	0.402120690795514
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	2	1		#FECB68	0.368568987259739
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	3	1	da|integration	#FD913D	0.555658580755264
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	4	1		#FDAD4A	0.496535057854573
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	5	1	physical|psychophysical|tactile	#FECB68	0.305726811476484
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	6	1		#FDAD4A	0.479606557754536
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	7	1	somatosensory|stimulation	#FDAD4A	0.407015441727797
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	8	1	painful|pain	#FD913D	0.52829155431215
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	9	1		#FC622F	0.607702310085738
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	10	1	ratings	#FC622F	0.689504678522235
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	11	1	affective|affect	#FC622F	0.694945629137552
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	12	1	emotions	#FC622F	0.663902502000064
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	13	1	expression|expressions|facial	#FDAD4A	0.465265840649653
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	14	1		#FC622F	0.618875488488555
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	15	1		#FC622F	0.632485396769017
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	16	1	emotion|motion|neutral	#FC622F	0.610280069593572
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	17	1	rating	#FC622F	0.682269494847847
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	18	1	negative|positive	#FC622F	0.68767016225887
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	19	1		#FC622F	0.682632678988479
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	20	1	ear|order	#FC622F	0.648978971586823
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	21	1	motor	#FDAD4A	0.436545640743364
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	22	1	visual	#FD913D	0.5085654449697
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	23	1	age|image|response	#FD913D	0.597302143763912
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	1	2	sound|sounds	#FEE188	0.239289447581635
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	2	2		#FECB68	0.342564710098125
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.324813578482524
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	4	2		#FD913D	0.518013642394453
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	5	2		#FDAD4A	0.493656195474991
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	6	2		#FD913D	0.505186236605699
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	7	2	sensation	#FD913D	0.500081332545627
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	8	2	heat|noxious	#FDAD4A	0.470611448339966
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	9	2		#FC622F	0.631779441493472
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	10	2		#F03623	0.7420414241616
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	11	2		#F03623	0.745142584135812
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	12	2	valence	#FC622F	0.612681459800194
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	13	2	person|social	#FC622F	0.699986937485444
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	14	2		#FC622F	0.630178225902231
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	15	2	face|faces	#FD913D	0.525048362905185
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	16	2		#FC622F	0.680422032424485
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	17	2		#F03623	0.716250197615926
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	18	2		#F03623	0.72825330610538
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	19	2		#FC622F	0.695655994483069
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	20	2		#FC622F	0.60897254377515
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	21	2	images|spatial	#FD913D	0.562564475628879
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	22	2	control	#FC622F	0.606977478077769
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	23	2	time	#FC622F	0.611610996798271
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.195222277242749
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	2	3	noise|tones	#FEE188	0.252672884086316
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	3	3		#FDAD4A	0.464373356904655
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	4	3		#FD913D	0.532434172906837
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	5	3	frequency	#FD913D	0.560391234262649
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	6	3		#FC622F	0.605395368156057
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	7	3		#FD913D	0.559816885081974
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	8	3	temperature	#FDAD4A	0.485763234544196
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	9	3		#FC622F	0.652124662183889
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	10	3	pleasant|unpleasant	#FC622F	0.636202121633971
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	11	3	anxiety	#FC622F	0.634186433877244
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	12	3		#F03623	0.759839736213274
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	13	3		#F03623	0.75150481371995
06bea667-2d95-3d4d-9967-15165ad01583	Simons JS	14	3		#FC622F	0.690869691271132
