UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	1	1	auditory|speech	#F03623	0.729889336911094
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	2	1		#FC622F	0.694115994300883
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	3	1	da|integration	#FC622F	0.640492995869929
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	4	1		#FC622F	0.690794745482967
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	5	1	physical|psychophysical|tactile	#FD913D	0.532572856824347
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	6	1		#F03623	0.789470984834594
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	7	1	somatosensory|stimulation	#F03623	0.743854703518367
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	8	1	painful|pain	#D7141E	0.877236650009184
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	9	1		#D7141E	0.868050948282551
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	10	1	ratings	#F03623	0.787144839779823
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	11	1	affective|affect	#FD913D	0.592879990406205
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	12	1	emotions	#FD913D	0.521033029626336
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	13	1	expression|expressions|facial	#FDAD4A	0.446585591330993
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	14	1		#FD913D	0.556297143416675
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	15	1		#FD913D	0.577031129308434
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	16	1	emotion|motion|neutral	#FD913D	0.527386357349644
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	17	1	rating	#FC622F	0.682708184712523
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	18	1	negative|positive	#FD913D	0.567261373471453
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	19	1		#FC622F	0.610557158179638
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	20	1	ear|order	#FD913D	0.563206835150181
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	21	1	motor	#FDAD4A	0.436350492223919
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	22	1	visual	#FDAD4A	0.470617406419422
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	23	1	age|image|response	#FD913D	0.518863728085347
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	1	2	sound|sounds	#FC622F	0.657442062091817
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	2	2		#F03623	0.723636868289886
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.407298915488213
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	4	2		#F03623	0.709622977067743
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	5	2		#F03623	0.748707921357814
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	6	2		#D7141E	0.819136897586922
070e7160-f24e-3002-8aa3-985c139401b8	Hanggi J	7	2	sensation	#F03623	0.712213432462093
