UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	1	1	auditory|speech	#FDAD4A	0.452282638295273
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	2	1		#FECB68	0.380929008109246
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	3	1	da|integration	#FD913D	0.557227037600458
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	4	1		#FDAD4A	0.492082830858747
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	5	1	physical|psychophysical|tactile	#FECB68	0.307132064571166
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	6	1		#FDAD4A	0.403854184852654
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	7	1	somatosensory|stimulation	#FECB68	0.358063161932209
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	8	1	painful|pain	#FEE188	0.252482236260466
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	9	1		#FECB68	0.320949408662064
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	10	1	ratings	#FECB68	0.389272272973207
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	11	1	affective|affect	#FDAD4A	0.423868822036051
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	12	1	emotions	#FEE188	0.277648104460653
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	13	1	expression|expressions|facial	#FEE188	0.227134343713101
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	14	1		#FDAD4A	0.41649360275278
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	15	1		#FDAD4A	0.45764860300444
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	16	1	emotion|motion|neutral	#FDAD4A	0.420021063139129
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	17	1	rating	#FDAD4A	0.458411760530453
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	18	1	negative|positive	#FD913D	0.574403963225523
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	19	1		#F03623	0.747994351134091
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	20	1	ear|order	#F03623	0.789351778955061
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	21	1	motor	#FC622F	0.67677657223429
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	22	1	visual	#FC622F	0.656968371613447
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	23	1	age|image|response	#F03623	0.716225812918714
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	1	2	sound|sounds	#FEE188	0.23301216405022
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	2	2		#FECB68	0.343659934195341
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.266029939830682
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	4	2		#FD913D	0.513991060189571
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	5	2		#FD913D	0.500607664022846
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	6	2		#FDAD4A	0.446919096950557
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	7	2	sensation	#FEE188	0.238071974249835
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	8	2	heat|noxious	#FEE188	0.218671235888237
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	9	2		#FECB68	0.339999772928982
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	10	2		#FDAD4A	0.419227234081448
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	11	2		#FDAD4A	0.425086555750094
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	12	2	valence	#FECB68	0.329032286051827
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	13	2	person|social	#FDAD4A	0.425896979736467
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	14	2		#FDAD4A	0.444857241360733
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	15	2	face|faces	#FDAD4A	0.427375037256125
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	16	2		#FD913D	0.537958303567467
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	17	2		#FD913D	0.59669410863145
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	18	2		#F03623	0.709999154154645
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	19	2		#F03623	0.786745127395067
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	20	2		#F03623	0.792118614294446
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	21	2	images|spatial	#F03623	0.720292536765932
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	22	2	control	#F03623	0.750235791450996
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	23	2	time	#F03623	0.727349695977291
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.166882006932811
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	2	3	noise|tones	#FEE188	0.245967034077489
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	3	3		#FDAD4A	0.483846347033453
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	4	3		#FC622F	0.606390608109587
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	5	3	frequency	#FD913D	0.595834382171667
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	6	3		#FC622F	0.633563600582838
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	7	3		#FECB68	0.353356912475978
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	8	3	temperature	#FEE188	0.269978951390651
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	9	3		#FECB68	0.351948047182785
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	10	3	pleasant|unpleasant	#FEE188	0.250870812150031
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	11	3	anxiety	#FECB68	0.367035265008993
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	12	3		#FD913D	0.51747951670138
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	13	3		#FD913D	0.590383057389643
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	14	3		#FD913D	0.560220717420034
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	15	3		#FD913D	0.589721344798036
078ab770-3f2f-3d3a-ab7e-08947363258c	VanMeter J	16	3	picture	#FC622F	0.604310419642155
