UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	1	1	auditory|speech	#FDAD4A	0.497279831609851
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	2	1		#FDAD4A	0.468437733676864
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	3	1	da|integration	#FD913D	0.591224105242636
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	4	1		#FD913D	0.567901466321045
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	5	1	physical|psychophysical|tactile	#FDAD4A	0.460550161793353
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	6	1		#FC622F	0.630889103696528
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	7	1	somatosensory|stimulation	#FC622F	0.606001131245601
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	8	1	painful|pain	#FC622F	0.612315538652338
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	9	1		#FC622F	0.681638593350269
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	10	1	ratings	#F03623	0.732955174253898
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	11	1	affective|affect	#F03623	0.72236514537255
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	12	1	emotions	#FD913D	0.576312624045478
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	13	1	expression|expressions|facial	#FECB68	0.370877011287015
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	14	1		#FD913D	0.563178808496265
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	15	1		#FC622F	0.60094973869121
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	16	1	emotion|motion|neutral	#FC622F	0.601310768321422
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	17	1	rating	#F03623	0.735905484849573
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	18	1	negative|positive	#F03623	0.785664050903335
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	19	1		#F03623	0.794492006033766
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	20	1	ear|order	#F03623	0.749507091136071
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	21	1	motor	#FC622F	0.61712470171996
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	22	1	visual	#FD913D	0.533033654016521
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	23	1	age|image|response	#F03623	0.705627742389483
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	1	2	sound|sounds	#FECB68	0.388011453364785
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	2	2		#FDAD4A	0.442887370093542
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.223609880841332
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	4	2		#FD913D	0.58321474080515
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	5	2		#FC622F	0.620116268475268
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	6	2		#FC622F	0.658101519945263
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	7	2	sensation	#FD913D	0.596035001363298
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	8	2	heat|noxious	#FDAD4A	0.494655554445321
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	9	2		#FC622F	0.684863546844802
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	10	2		#F03623	0.759630113478928
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	11	2		#F03623	0.74834967393814
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	12	2	valence	#FC622F	0.626897119085242
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	13	2	person|social	#FC622F	0.649733338822625
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	14	2		#FD913D	0.580526501438083
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	15	2	face|faces	#FDAD4A	0.446601689086927
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	16	2		#FC622F	0.674849390596579
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	17	2		#F03623	0.752970375520599
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	18	2		#D7141E	0.804106571399954
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	19	2		#F03623	0.799526437769019
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	20	2		#F03623	0.725019255131678
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	21	2	images|spatial	#FC622F	0.656567111378811
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	22	2	control	#FC622F	0.69797023184477
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	23	2	time	#F03623	0.717898128183366
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.308113049528864
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	2	3	noise|tones	#FECB68	0.376187354595361
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	3	3		#FD913D	0.510702734261803
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	4	3		#FC622F	0.6078009110972
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	5	3	frequency	#FC622F	0.680956326741081
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	6	3		#F03623	0.756338673340736
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	7	3		#FC622F	0.622701170751188
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	8	3	temperature	#FDAD4A	0.478585552543474
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	9	3		#FC622F	0.659958096038922
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	10	3	pleasant|unpleasant	#FD913D	0.517846310731714
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	11	3	anxiety	#FC622F	0.690973844907994
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	12	3		#F03623	0.786271521709837
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	13	3		#F03623	0.778820804705461
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	14	3		#FC622F	0.69045978268951
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	15	3		#FC622F	0.681874169500639
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	16	3	picture	#FC622F	0.652582774676698
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	17	3		#F03623	0.752014549770682
0960adc9-6672-3e98-80d0-86706c894235	Pearlson GD	18	3	value	#D7141E	0.823104820294105
