UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	1	1	auditory|speech	#FEE188	0.239696145542299
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	2	1		#FEE188	0.218143538474278
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	3	1	da|integration	#FDAD4A	0.422241576962853
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	4	1		#FDAD4A	0.436759540706537
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	5	1	physical|psychophysical|tactile	#FECB68	0.345655559761457
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	6	1		#FECB68	0.385076387919197
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	7	1	somatosensory|stimulation	#FEE188	0.28429788186189
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	8	1	painful|pain	#FEE188	0.292996555366683
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	9	1		#FECB68	0.361994362997704
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	10	1	ratings	#FDAD4A	0.431546112537623
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	11	1	affective|affect	#FECB68	0.393356446165724
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	12	1	emotions	#FDAD4A	0.402332644848479
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	13	1	expression|expressions|facial	#FECB68	0.316260187199857
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	14	1		#FD913D	0.570982369092197
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	15	1		#FC622F	0.609609271656064
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	16	1	emotion|motion|neutral	#FD913D	0.513651159994195
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	17	1	rating	#FD913D	0.505820498707865
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	18	1	negative|positive	#FDAD4A	0.480830093865512
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	19	1		#FD913D	0.560873124255803
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	20	1	ear|order	#FD913D	0.547264799276442
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	21	1	motor	#FECB68	0.331641467578594
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	22	1	visual	#FC622F	0.636993416843577
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	23	1	age|image|response	#FD913D	0.567667760058496
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	1	2	sound|sounds	#FFFFCC	0.0988160801830508
0a5343cb-b8ba-3f9e-8604-12b0412365ff	Polosan M	2	2		#FFF1A9	0.190060530064616
