UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	1	1	auditory|speech	#FFF1A9	0.108683341674292
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	2	1		#FFF1A9	0.1204922904113
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	3	1	da|integration	#FFF1A9	0.188606637336533
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	4	1		#FFF1A9	0.194115215363439
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	5	1	physical|psychophysical|tactile	#FEE188	0.248495018213949
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	6	1		#FECB68	0.367774874093054
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	7	1	somatosensory|stimulation	#FECB68	0.39703930474576
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	8	1	painful|pain	#FDAD4A	0.445206893195806
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	9	1		#FDAD4A	0.44551245100112
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	10	1	ratings	#FECB68	0.356123917893885
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	11	1	affective|affect	#FFF1A9	0.148136200259633
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	12	1	emotions	#FEE188	0.205699978686257
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	13	1	expression|expressions|facial	#FEE188	0.268809608034868
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	14	1		#FEE188	0.266316466158038
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	15	1		#FEE188	0.266184095769831
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	16	1	emotion|motion|neutral	#FEE188	0.274589258695148
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	17	1	rating	#FECB68	0.313892096301612
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	18	1	negative|positive	#FECB68	0.376258665762567
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	19	1		#FECB68	0.32450634018428
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	20	1	ear|order	#FEE188	0.273530821030281
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	21	1	motor	#FEE188	0.216174821107782
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	22	1	visual	#FFF1A9	0.122459784529451
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	23	1	age|image|response	#FFF1A9	0.197482995106923
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	1	2	sound|sounds	#FFF1A9	0.123487461952151
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	2	2		#FFF1A9	0.117137453857033
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0388826459562694
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	4	2		#FEE188	0.212123670916764
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	5	2		#FEE188	0.28617281688951
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	6	2		#FECB68	0.379671404066888
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	7	2	sensation	#FDAD4A	0.487624244802336
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	8	2	heat|noxious	#FECB68	0.307431570792873
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	9	2		#FDAD4A	0.459091799244121
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	10	2		#FECB68	0.327504414762966
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	11	2		#FEE188	0.298837921649593
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	12	2	valence	#FFF1A9	0.197503169485569
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	13	2	person|social	#FEE188	0.237085520435273
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	14	2		#FEE188	0.27263791934569
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	15	2	face|faces	#FFF1A9	0.165427110429627
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	16	2		#FEE188	0.286183983109841
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	17	2		#FECB68	0.333255688041062
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	18	2		#FECB68	0.34411317479998
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	19	2		#FECB68	0.326668582723444
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	20	2		#FEE188	0.259511514315401
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	21	2	images|spatial	#FEE188	0.203265742304448
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	22	2	control	#FEE188	0.221298236794332
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	23	2	time	#FEE188	0.236542985804394
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0922166047626407
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	2	3	noise|tones	#FEE188	0.22974257708085
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	3	3		#FFF1A9	0.129200374012101
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	4	3		#FFF1A9	0.1781528673574
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	5	3	frequency	#FECB68	0.351986728969252
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	6	3		#FECB68	0.329977866034941
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	7	3		#FDAD4A	0.42396559754948
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	8	3	temperature	#FDAD4A	0.463260237910542
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	9	3		#FDAD4A	0.426003027084763
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	10	3	pleasant|unpleasant	#FECB68	0.323599751218497
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	11	3	anxiety	#FECB68	0.363667143939455
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	12	3		#FECB68	0.34539579942285
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	13	3		#FECB68	0.314328178992906
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	14	3		#FEE188	0.297210631582137
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	15	3		#FEE188	0.284969957411741
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	16	3	picture	#FEE188	0.251108990133323
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	17	3		#FECB68	0.316728517313045
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	18	3	value	#FDAD4A	0.409931070996875
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	19	3	cue	#FECB68	0.3693053126299
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	20	3	error|target	#FEE188	0.238869188547664
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	21	3	attention	#FFF1A9	0.146542697788925
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	22	3		#FEE188	0.209912134525907
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	23	3	number	#FEE188	0.291451588774451
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	1	4	voice	#FFFFCC	0.0459972675995233
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	2	4		#FFFFCC	0.0920685473447694
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	3	4	hearing	#FFF1A9	0.15708956489781
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	4	4		#FFF1A9	0.159465575715953
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	5	4	overt	#FFF1A9	0.118665536981334
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	6	4		#FEE188	0.237447371322857
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	7	4		#FDAD4A	0.401654824959333
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.428397933180827
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	9	4	unpleasantness	#FECB68	0.310591587681691
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	10	4	skin|subjective	#FDAD4A	0.443159274119331
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	11	4	depression	#FDAD4A	0.474084009244381
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	12	4	experience	#FECB68	0.31405379623832
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	13	4	female	#FECB68	0.335842298297188
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	14	4	male	#FECB68	0.334361159918297
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	15	4	pictures	#FEE188	0.246038242290149
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	16	4		#FEE188	0.264513325946938
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	17	4	perception	#FEE188	0.24499023443628
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	18	4		#FEE188	0.242443236394628
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	19	4		#FEE188	0.227405461070146
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	20	4		#FEE188	0.211156615495213
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	21	4	correct	#FEE188	0.207864731911305
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	22	4	work	#FEE188	0.203640356817534
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	23	4	memory	#FFF1A9	0.168133332050647
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	1	5	prosodic|prosody	#FFFFCC	0.0853012716055434
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	2	5	phonetic	#FFFFCC	0.0875041497344089
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	3	5	syllable|syllables	#FFFFCC	0.0601692881245559
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	4	5		#FFF1A9	0.135313122179518
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	5	5	lip|production	#FFFFCC	0.0943479995096414
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	6	5	somatotopic	#FEE188	0.28676124526107
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	7	5		#FEE188	0.262508821686995
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	8	5		#FEE188	0.243718966976303
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	9	5	empathy	#FECB68	0.314684782550252
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	10	5		#FDAD4A	0.475385216068219
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	11	5	disorder	#FD913D	0.55812945642168
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	12	5		#FDAD4A	0.406397229279018
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	13	5		#FECB68	0.312416843503048
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	14	5		#FEE188	0.249056913446429
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	15	5		#FEE188	0.219129060895257
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	16	5		#FEE188	0.19990283068744
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	17	5		#FFF1A9	0.163908761282156
0a62b906-06bf-36d5-b95f-fe6f80e7b536	Minicucci F	18	5	mental	#FFF1A9	0.110242377713478
