UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	1	1	auditory|speech	#FECB68	0.368971328863675
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	2	1		#FECB68	0.354252785289524
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	3	1	da|integration	#FD913D	0.519065506074208
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	4	1		#FD913D	0.58789712075185
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	5	1	physical|psychophysical|tactile	#FD913D	0.593543947321051
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	6	1		#F03623	0.770223182150865
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	7	1	somatosensory|stimulation	#FC622F	0.684191463839562
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	8	1	painful|pain	#F03623	0.78181044980068
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	9	1		#D7141E	0.814173090934666
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	10	1	ratings	#FC622F	0.6744815707309
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	11	1	affective|affect	#FD913D	0.546576299162871
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	12	1	emotions	#FDAD4A	0.429224965443005
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	13	1	expression|expressions|facial	#FECB68	0.340359712394009
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	14	1		#FDAD4A	0.470530438202837
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	15	1		#FD913D	0.512137879991017
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	16	1	emotion|motion|neutral	#FD913D	0.522196683568326
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	17	1	rating	#FC622F	0.680923194584596
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	18	1	negative|positive	#F03623	0.727336017961056
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	19	1		#F03623	0.767843862096004
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	20	1	ear|order	#F03623	0.736378913541695
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	21	1	motor	#FC622F	0.649961703268716
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	22	1	visual	#FD913D	0.537204123230972
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	23	1	age|image|response	#FC622F	0.680572112259539
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	1	2	sound|sounds	#FEE188	0.273838419017722
0b174935-0062-3ce1-8ff8-07c4509e9d90	Sylvester CY	2	2		#FECB68	0.328507584206004
