UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	1	1	auditory|speech	#FDAD4A	0.433274893204923
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	2	1		#FDAD4A	0.442263351043478
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	3	1	da|integration	#FD913D	0.593444697874673
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	4	1		#F03623	0.794855658122549
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	5	1	physical|psychophysical|tactile	#B10026	0.901080437603543
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	6	1		#B10026	0.983089756548128
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	7	1	somatosensory|stimulation	#B10026	1
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	8	1	painful|pain	#D7141E	0.869918801524523
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	9	1		#D7141E	0.873831055101716
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	10	1	ratings	#FC622F	0.675578327976823
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	11	1	affective|affect	#FD913D	0.557700090290783
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	12	1	emotions	#FD913D	0.555514332446308
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	13	1	expression|expressions|facial	#FDAD4A	0.464423168890138
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	14	1		#FDAD4A	0.485442687538232
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	15	1		#FDAD4A	0.469615918913451
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	16	1	emotion|motion|neutral	#FDAD4A	0.450797659929515
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	17	1	rating	#FD913D	0.540312314861666
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	18	1	negative|positive	#FDAD4A	0.43470821960173
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	19	1		#FDAD4A	0.475327915750804
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	20	1	ear|order	#FDAD4A	0.412639472070181
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	21	1	motor	#FD913D	0.592432567022721
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	22	1	visual	#FECB68	0.337464301102858
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	23	1	age|image|response	#FECB68	0.383203560923544
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	1	2	sound|sounds	#FECB68	0.38398942311447
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	2	2		#FDAD4A	0.428493834166912
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.390356928346281
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	4	2		#F03623	0.771928223798888
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	5	2		#D7141E	0.88892056929101
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	6	2		#B10026	0.973741104669984
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	7	2	sensation	#D7141E	0.823672369149936
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	8	2	heat|noxious	#F03623	0.761295436635804
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	9	2		#D7141E	0.877130496847703
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	10	2		#F03623	0.75542588113389
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	11	2		#FC622F	0.687709411260657
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	12	2	valence	#FD913D	0.50091803491879
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	13	2	person|social	#FDAD4A	0.4141487197151
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	14	2		#FD913D	0.502371521663406
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	15	2	face|faces	#FECB68	0.351428469584544
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	16	2		#FDAD4A	0.491591952269635
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	17	2		#FDAD4A	0.498152547856894
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	18	2		#FDAD4A	0.492711882902983
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	19	2		#FDAD4A	0.47989519960675
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	20	2		#FDAD4A	0.472616728135871
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	21	2	images|spatial	#FDAD4A	0.416783529591246
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	22	2	control	#FDAD4A	0.409141090061158
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	23	2	time	#FDAD4A	0.404109961327681
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.328843674200483
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	2	3	noise|tones	#FECB68	0.378502346705834
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	3	3		#FD913D	0.517847942431995
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	4	3		#FD913D	0.588607517485758
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	5	3	frequency	#FC622F	0.663546356406412
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	6	3		#D7141E	0.805085075000735
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	7	3		#D7141E	0.859021132910568
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	8	3	temperature	#F03623	0.797236156371862
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	9	3		#D7141E	0.870510856924215
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	10	3	pleasant|unpleasant	#F03623	0.755295460004354
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	11	3	anxiety	#FC622F	0.613328674886854
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	12	3		#FC622F	0.656616110727443
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	13	3		#FC622F	0.643999373375187
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	14	3		#FD913D	0.571219634314127
0b3a638e-3a08-3695-bb6e-149a8733116f	Kammer T	15	3		#FD913D	0.546639495061234
