UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	1	1	auditory|speech	#D7141E	0.848094111472871
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	2	1		#D7141E	0.896550567800604
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	3	1	da|integration	#F03623	0.767725108398849
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	4	1		#D7141E	0.824685415964834
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	5	1	physical|psychophysical|tactile	#FD913D	0.567966828478933
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	6	1		#FC622F	0.695991367369634
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	7	1	somatosensory|stimulation	#F03623	0.794854717487384
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	8	1	painful|pain	#FDAD4A	0.431273512804215
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	9	1		#FDAD4A	0.491425716423035
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	10	1	ratings	#FECB68	0.382743741917814
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	11	1	affective|affect	#FFF1A9	0.179191594640083
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	12	1	emotions	#FEE188	0.247331338347123
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	13	1	expression|expressions|facial	#FFF1A9	0.144058963733243
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	14	1		#FEE188	0.207206713081869
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	15	1		#FEE188	0.235568329330624
0b4c65fa-3ddb-3f93-a165-d00cd5ebd746	Hommel M	16	1	emotion|motion|neutral	#FEE188	0.26401480938577
