UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	1	1	auditory|speech	#FFFFCC	0.0780034566524325
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	2	1		#FFFFCC	0.0774292688206218
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	3	1	da|integration	#FFF1A9	0.12479456922913
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	4	1		#FFF1A9	0.166500537774638
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	5	1	physical|psychophysical|tactile	#FFF1A9	0.136068274269708
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	6	1		#FFF1A9	0.142686168881801
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	7	1	somatosensory|stimulation	#FFFFCC	0.0917176389447933
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	8	1	painful|pain	#FFF1A9	0.0998003271243796
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	9	1		#FFF1A9	0.163315662590185
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	10	1	ratings	#FECB68	0.375330332812974
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	11	1	affective|affect	#FECB68	0.380196539162807
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	12	1	emotions	#FECB68	0.331070093512136
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	13	1	expression|expressions|facial	#FFF1A9	0.140558686504871
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	14	1		#FECB68	0.311097508585959
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	15	1		#FECB68	0.342079610959847
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	16	1	emotion|motion|neutral	#FECB68	0.36496246399163
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	17	1	rating	#FDAD4A	0.451591619450129
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	18	1	negative|positive	#FDAD4A	0.488357867772059
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	19	1		#FECB68	0.390178921336995
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	20	1	ear|order	#FECB68	0.327036652235091
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	21	1	motor	#FFF1A9	0.143405162597608
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	22	1	visual	#FFF1A9	0.185510029702009
0bd08965-4c99-3bfc-a32f-344be055924a	Lu G	23	1	age|image|response	#FECB68	0.312589418520892
