UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0db644f5-8e55-308c-9545-5128618daae5	Alain C	1	1	auditory|speech	#D7141E	0.830981232773541
0db644f5-8e55-308c-9545-5128618daae5	Alain C	2	1		#D7141E	0.878221356578705
0db644f5-8e55-308c-9545-5128618daae5	Alain C	3	1	da|integration	#B10026	0.909400012280578
0db644f5-8e55-308c-9545-5128618daae5	Alain C	4	1		#B10026	1
0db644f5-8e55-308c-9545-5128618daae5	Alain C	5	1	physical|psychophysical|tactile	#D7141E	0.813959406148847
0db644f5-8e55-308c-9545-5128618daae5	Alain C	6	1		#F03623	0.771299238066477
0db644f5-8e55-308c-9545-5128618daae5	Alain C	7	1	somatosensory|stimulation	#FC622F	0.637973985651089
0db644f5-8e55-308c-9545-5128618daae5	Alain C	8	1	painful|pain	#FDAD4A	0.453992849249858
0db644f5-8e55-308c-9545-5128618daae5	Alain C	9	1		#FDAD4A	0.480419679628608
0db644f5-8e55-308c-9545-5128618daae5	Alain C	10	1	ratings	#FDAD4A	0.427397925753302
0db644f5-8e55-308c-9545-5128618daae5	Alain C	11	1	affective|affect	#FECB68	0.379266228504229
0db644f5-8e55-308c-9545-5128618daae5	Alain C	12	1	emotions	#FEE188	0.291662690321291
0db644f5-8e55-308c-9545-5128618daae5	Alain C	13	1	expression|expressions|facial	#FFF1A9	0.190481031560872
0db644f5-8e55-308c-9545-5128618daae5	Alain C	14	1		#FECB68	0.352996583439276
0db644f5-8e55-308c-9545-5128618daae5	Alain C	15	1		#FECB68	0.393565295050901
0db644f5-8e55-308c-9545-5128618daae5	Alain C	16	1	emotion|motion|neutral	#FECB68	0.389375859272618
0db644f5-8e55-308c-9545-5128618daae5	Alain C	17	1	rating	#FDAD4A	0.474163397971123
0db644f5-8e55-308c-9545-5128618daae5	Alain C	18	1	negative|positive	#FD913D	0.542598039019214
0db644f5-8e55-308c-9545-5128618daae5	Alain C	19	1		#FC622F	0.694493702869544
0db644f5-8e55-308c-9545-5128618daae5	Alain C	20	1	ear|order	#F03623	0.758541734309964
0db644f5-8e55-308c-9545-5128618daae5	Alain C	21	1	motor	#FC622F	0.681029107973159
0db644f5-8e55-308c-9545-5128618daae5	Alain C	22	1	visual	#FC622F	0.658692714750556
0db644f5-8e55-308c-9545-5128618daae5	Alain C	23	1	age|image|response	#F03623	0.706475697712243
0db644f5-8e55-308c-9545-5128618daae5	Alain C	1	2	sound|sounds	#D7141E	0.831054678023815
0db644f5-8e55-308c-9545-5128618daae5	Alain C	2	2		#D7141E	0.857546567649269
0db644f5-8e55-308c-9545-5128618daae5	Alain C	3	2	audiovisual|bimodal|crossmodal	#F03623	0.74429509474178
0db644f5-8e55-308c-9545-5128618daae5	Alain C	4	2		#B10026	0.996737765740202
0db644f5-8e55-308c-9545-5128618daae5	Alain C	5	2		#B10026	0.9454750597305
0db644f5-8e55-308c-9545-5128618daae5	Alain C	6	2		#D7141E	0.809623597531974
0db644f5-8e55-308c-9545-5128618daae5	Alain C	7	2	sensation	#FDAD4A	0.42726817456405
0db644f5-8e55-308c-9545-5128618daae5	Alain C	8	2	heat|noxious	#FDAD4A	0.41484372428266
0db644f5-8e55-308c-9545-5128618daae5	Alain C	9	2		#FDAD4A	0.483194406075842
0db644f5-8e55-308c-9545-5128618daae5	Alain C	10	2		#FDAD4A	0.430025402413088
0db644f5-8e55-308c-9545-5128618daae5	Alain C	11	2		#FDAD4A	0.408126123409626
0db644f5-8e55-308c-9545-5128618daae5	Alain C	12	2	valence	#FEE188	0.285692212189957
0db644f5-8e55-308c-9545-5128618daae5	Alain C	13	2	person|social	#FDAD4A	0.442798770391557
0db644f5-8e55-308c-9545-5128618daae5	Alain C	14	2		#FECB68	0.372859167544708
0db644f5-8e55-308c-9545-5128618daae5	Alain C	15	2	face|faces	#FECB68	0.360189197432954
0db644f5-8e55-308c-9545-5128618daae5	Alain C	16	2		#FDAD4A	0.479851358822638
0db644f5-8e55-308c-9545-5128618daae5	Alain C	17	2		#FD913D	0.537184282704346
0db644f5-8e55-308c-9545-5128618daae5	Alain C	18	2		#FC622F	0.649387711750928
0db644f5-8e55-308c-9545-5128618daae5	Alain C	19	2		#F03623	0.724121025025684
0db644f5-8e55-308c-9545-5128618daae5	Alain C	20	2		#F03623	0.751121725377926
0db644f5-8e55-308c-9545-5128618daae5	Alain C	21	2	images|spatial	#F03623	0.708089134767142
0db644f5-8e55-308c-9545-5128618daae5	Alain C	22	2	control	#FC622F	0.696797314217877
0db644f5-8e55-308c-9545-5128618daae5	Alain C	23	2	time	#F03623	0.713824458610112
0db644f5-8e55-308c-9545-5128618daae5	Alain C	1	3	acoustic|listening|musical|music|pitch	#FC622F	0.67773110982019
