UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	1	1	auditory|speech	#FECB68	0.361799613573968
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	2	1		#FDAD4A	0.40778350049435
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	3	1	da|integration	#FD913D	0.561397605885093
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	4	1		#FC622F	0.609952198148989
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	5	1	physical|psychophysical|tactile	#FD913D	0.561081589523227
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	6	1		#FDAD4A	0.429226875468443
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	7	1	somatosensory|stimulation	#FECB68	0.338820744071355
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	8	1	painful|pain	#FFF1A9	0.129493210480475
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	9	1		#FFF1A9	0.15190464056639
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	10	1	ratings	#FEE188	0.204225179650687
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	11	1	affective|affect	#FFF1A9	0.197451867342293
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	12	1	emotions	#FEE188	0.248781845988475
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	13	1	expression|expressions|facial	#FEE188	0.225333448246379
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	14	1		#FECB68	0.340291540653766
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	15	1		#FECB68	0.342348730154838
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	16	1	emotion|motion|neutral	#FECB68	0.302955935916417
0ddf4cd7-a76b-3a03-8aa0-f95d3b84f898	Nelson CA	17	1	rating	#FEE188	0.245823801000641
