UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	1	1	auditory|speech	#FDAD4A	0.473228553129917
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	2	1		#FDAD4A	0.419895579395677
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	3	1	da|integration	#FC622F	0.673719932934519
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	4	1		#F03623	0.7068016969508
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	5	1	physical|psychophysical|tactile	#FC622F	0.630796213126873
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	6	1		#F03623	0.708786735467311
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	7	1	somatosensory|stimulation	#FC622F	0.63471288420704
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	8	1	painful|pain	#FD913D	0.557612135743951
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	9	1		#FD913D	0.584470584698434
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	10	1	ratings	#FD913D	0.55218040780501
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	11	1	affective|affect	#FD913D	0.521440575690267
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	12	1	emotions	#FDAD4A	0.468481954064528
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	13	1	expression|expressions|facial	#FECB68	0.375340368669527
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	14	1		#FD913D	0.562402471877937
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	15	1		#FD913D	0.589546449908547
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	16	1	emotion|motion|neutral	#FD913D	0.539199247293639
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	17	1	rating	#FD913D	0.562971501189759
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	18	1	negative|positive	#FD913D	0.594585195428371
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	19	1		#D7141E	0.801205347501399
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	20	1	ear|order	#D7141E	0.836705363150502
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	21	1	motor	#F03623	0.792600995755805
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	22	1	visual	#F03623	0.796151901439716
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	23	1	age|image|response	#F03623	0.790273171575787
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	1	2	sound|sounds	#FEE188	0.255703400430533
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	2	2		#FECB68	0.371019550754988
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.322163928002679
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	4	2		#F03623	0.708223982126137
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	5	2		#F03623	0.732404129018603
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	6	2		#F03623	0.733457143768407
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	7	2	sensation	#FDAD4A	0.433725813740474
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	8	2	heat|noxious	#FDAD4A	0.477505762442566
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	9	2		#FD913D	0.59349298222673
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	10	2		#FD913D	0.580037379580895
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	11	2		#FD913D	0.5605780556286
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	12	2	valence	#FDAD4A	0.41548756393895
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	13	2	person|social	#FD913D	0.533829021216533
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	14	2		#FD913D	0.579639727907969
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	15	2	face|faces	#FD913D	0.581887746464128
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	16	2		#FC622F	0.659765734895953
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	17	2		#FC622F	0.686584776730191
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	18	2		#F03623	0.785076291579459
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	19	2		#D7141E	0.847046936512251
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	20	2		#D7141E	0.876938754218476
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	21	2	images|spatial	#D7141E	0.831703841953327
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	22	2	control	#D7141E	0.844711610751248
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	23	2	time	#D7141E	0.805985668032412
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.143177762270562
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	2	3	noise|tones	#FEE188	0.212938068605826
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	3	3		#FD913D	0.512575072977068
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	4	3		#FC622F	0.673647228026753
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	5	3	frequency	#FC622F	0.69494584636358
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	6	3		#D7141E	0.824609331916872
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	7	3		#FC622F	0.637891735418036
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	8	3	temperature	#FDAD4A	0.486067115815391
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	9	3		#FC622F	0.620174106580367
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	10	3	pleasant|unpleasant	#FDAD4A	0.417386516537696
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	11	3	anxiety	#FECB68	0.385316508699444
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	12	3		#FC622F	0.611110488846884
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	13	3		#FC622F	0.686991857078565
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	14	3		#FC622F	0.640033919708526
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	15	3		#FC622F	0.685667922572578
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	16	3	picture	#F03623	0.716921462620703
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	17	3		#F03623	0.799863278552378
0e23b894-8f0a-3342-b6ec-f8c09f0418ad	Boussaoud D	18	3	value	#D7141E	0.849690580155624
