UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	1	1	auditory|speech	#FFF1A9	0.198151308822656
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	2	1		#FFF1A9	0.172767165198088
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	3	1	da|integration	#FECB68	0.332392794783242
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	4	1		#FDAD4A	0.430379602400923
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	5	1	physical|psychophysical|tactile	#FDAD4A	0.485273125947012
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	6	1		#FD913D	0.50376921411255
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	7	1	somatosensory|stimulation	#FC622F	0.629996284592637
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	8	1	painful|pain	#FEE188	0.263383379609232
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	9	1		#FEE188	0.27434582857528
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	10	1	ratings	#FEE188	0.245439171840907
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	11	1	affective|affect	#FFFFCC	0.087300416862526
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	12	1	emotions	#FFF1A9	0.171013435854512
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	13	1	expression|expressions|facial	#FFF1A9	0.190015388236551
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	14	1		#FEE188	0.232114706055758
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	15	1		#FEE188	0.252770838047098
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	16	1	emotion|motion|neutral	#FEE188	0.292114084475853
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	17	1	rating	#FEE188	0.255105440908642
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	18	1	negative|positive	#FEE188	0.224800763099381
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	19	1		#FECB68	0.369438945941022
0f02ed9a-981d-3a6d-8807-b60d2da23d4c	Hoffmann KP	20	1	ear|order	#FECB68	0.328127610737811
