UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	1	1	auditory|speech	#FECB68	0.36157978177999
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	2	1		#FEE188	0.262204523279918
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	3	1	da|integration	#FECB68	0.364176457672777
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	4	1		#FECB68	0.387878799396086
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	5	1	physical|psychophysical|tactile	#FECB68	0.339281659391022
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	6	1		#FD913D	0.525053949625319
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	7	1	somatosensory|stimulation	#FD913D	0.508046730214625
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	8	1	painful|pain	#FD913D	0.587691974823828
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	9	1		#FC622F	0.680518675058267
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	10	1	ratings	#D7141E	0.843630766100852
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	11	1	affective|affect	#B10026	0.959622558677273
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	12	1	emotions	#B10026	0.927348179628173
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	13	1	expression|expressions|facial	#F03623	0.718969053505441
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	14	1		#D7141E	0.816526665562921
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	15	1		#D7141E	0.81686841673234
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	16	1	emotion|motion|neutral	#D7141E	0.809059373533138
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	17	1	rating	#F03623	0.798197596920728
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	18	1	negative|positive	#F03623	0.736423664938122
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	19	1		#FC622F	0.697496107403655
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	20	1	ear|order	#FC622F	0.614760024634194
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	21	1	motor	#FDAD4A	0.491283099593429
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	22	1	visual	#FDAD4A	0.417452054701626
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	23	1	age|image|response	#FD913D	0.584311520849255
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	1	2	sound|sounds	#FFF1A9	0.142452366811478
0f360d11-2e82-3bfb-9a7a-8bd33cf8a231	Veit R	2	2		#FEE188	0.24326680610451
