UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	1	auditory|speech	#D7141E	0.802620549087651
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	1		#F03623	0.700499285860829
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	1	da|integration	#F03623	0.734641185684323
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	1		#F03623	0.752211634240839
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	1	physical|psychophysical|tactile	#FDAD4A	0.469609325489991
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	1		#FD913D	0.511704283253909
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	7	1	somatosensory|stimulation	#FDAD4A	0.493232989669979
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	8	1	painful|pain	#FEE188	0.228705403216206
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	9	1		#FEE188	0.276922659901456
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	10	1	ratings	#FEE188	0.289315077756919
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	11	1	affective|affect	#FFF1A9	0.199366056309774
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	12	1	emotions	#FEE188	0.283089967147263
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	13	1	expression|expressions|facial	#FEE188	0.257997994206507
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	14	1		#FDAD4A	0.41460427781593
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	15	1		#FDAD4A	0.441468448983235
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	16	1	emotion|motion|neutral	#FECB68	0.387008907174424
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	17	1	rating	#FECB68	0.344413977916685
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	18	1	negative|positive	#FECB68	0.353429178834624
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	19	1		#FC622F	0.6015363903893
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	20	1	ear|order	#FC622F	0.682864008104481
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	21	1	motor	#F03623	0.716494071614037
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	22	1	visual	#F03623	0.763708866952443
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	23	1	age|image|response	#FC622F	0.692759061524656
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	2	sound|sounds	#FD913D	0.535545110313925
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	2		#FC622F	0.669427652792667
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.556099206062984
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	2		#F03623	0.767329761170589
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	2		#FC622F	0.699814245150937
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	2		#FD913D	0.563666335448363
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	7	2	sensation	#FEE188	0.226838617539337
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	8	2	heat|noxious	#FEE188	0.213392975982109
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	9	2		#FEE188	0.273137586599217
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	10	2		#FEE188	0.296430091374396
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	11	2		#FECB68	0.301550088241821
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	12	2	valence	#FEE188	0.262008463813122
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	13	2	person|social	#FECB68	0.361621357147094
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	14	2		#FDAD4A	0.439311139165441
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	15	2	face|faces	#FD913D	0.533486581816598
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	16	2		#FD913D	0.508170328205978
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	17	2		#FDAD4A	0.497759712668103
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	18	2		#FD913D	0.568184072393881
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	19	2		#FC622F	0.643904285022606
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	20	2		#F03623	0.710611902919552
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	21	2	images|spatial	#FC622F	0.694287246125983
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	22	2	control	#FC622F	0.668615345553603
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	23	2	time	#FC622F	0.692471876039254
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.528880725987369
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	3	noise|tones	#FDAD4A	0.471399203955187
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	3		#D7141E	0.815070468597917
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	3		#B10026	0.903634045779952
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	3	frequency	#F03623	0.78651280615122
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	3		#D7141E	0.806114776255429
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	7	3		#FECB68	0.369226183185431
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	8	3	temperature	#FFF1A9	0.158963986750484
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	9	3		#FEE188	0.282240541512496
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	10	3	pleasant|unpleasant	#FFF1A9	0.198686804822816
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	11	3	anxiety	#FFF1A9	0.161304421618171
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	12	3		#FECB68	0.374685701103039
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	13	3		#FD913D	0.503635002093523
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	14	3		#FD913D	0.508237979509611
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	15	3		#FD913D	0.563160283538086
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	16	3	picture	#FC622F	0.61503883806816
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	17	3		#FC622F	0.643708939852399
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	18	3	value	#FC622F	0.673363092397118
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	19	3	cue	#FC622F	0.618298980837233
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	20	3	error|target	#FC622F	0.667599856128404
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	21	3	attention	#FC622F	0.695522211422421
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	22	3		#F03623	0.719389866872495
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	23	3	number	#FC622F	0.697772016852649
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	4	voice	#FDAD4A	0.466418058034494
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	4		#FC622F	0.627156416350036
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	4	hearing	#FC622F	0.699515325401362
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	4		#B10026	0.953231015585798
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	4	overt	#B10026	0.929878328390902
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	4		#B10026	0.959640968665317
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	7	4		#FDAD4A	0.499460715958724
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	8	4	nociceptive|nonpainful|painrelated	#FFF1A9	0.189123203982733
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	9	4	unpleasantness	#FEE188	0.239382855928156
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	10	4	skin|subjective	#FECB68	0.323272582418574
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	11	4	depression	#FECB68	0.336021375922291
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	12	4	experience	#FECB68	0.365924708976
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	13	4	female	#FDAD4A	0.480116883405954
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	14	4	male	#FD913D	0.597955740098177
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	15	4	pictures	#FD913D	0.579695753092432
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	16	4		#F03623	0.743571046841004
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	17	4	perception	#F03623	0.795244876410998
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	18	4		#D7141E	0.801226485856922
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	19	4		#F03623	0.76715390938773
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	20	4		#F03623	0.749732138698574
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	21	4	correct	#FC622F	0.641896900959304
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	22	4	work	#FC622F	0.662317318485587
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	23	4	memory	#FC622F	0.638666890371344
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	5	prosodic|prosody	#FDAD4A	0.407852644406518
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	5	phonetic	#FD913D	0.500587158523809
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	5	syllable|syllables	#F03623	0.756486264609648
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	5		#B10026	0.961327860753633
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	5	lip|production	#B10026	1
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	5	somatotopic	#F03623	0.767987835168096
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	7	5		#FD913D	0.593922238034746
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	8	5		#FECB68	0.362582796579036
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	9	5	empathy	#FECB68	0.359789442515327
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	10	5		#FDAD4A	0.444096359044987
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	11	5	disorder	#FECB68	0.340385182569118
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	12	5		#FD913D	0.531516683010417
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	13	5		#FC622F	0.662615523416007
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	14	5		#F03623	0.728732102162699
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	15	5		#F03623	0.763658312787836
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	16	5		#D7141E	0.850838645101454
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	17	5		#D7141E	0.894159347662145
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	18	5	mental	#F03623	0.765188644881879
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	19	5	go	#F03623	0.772608020543403
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	20	5	object	#F03623	0.77069199179177
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	21	5		#F03623	0.79085564697236
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	22	5		#F03623	0.774224980473173
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	23	5	word|words	#F03623	0.789149553592294
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	1	6		#FD913D	0.555651814506649
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	2	6		#FC622F	0.61493095186746
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	3	6		#D7141E	0.820684155702578
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	4	6	vocal	#F03623	0.732618172698123
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	5	6	articulatory	#D7141E	0.843263785500934
10e59278-77f4-3ff5-8141-44a620228ff5	Alario FX	6	6		#B10026	0.969346881296959
