UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	1	1	auditory|speech	#FFFFCC	0.05824890028786
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	2	1		#FFFFCC	0.0739635814889636
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	3	1	da|integration	#FFF1A9	0.128467920098228
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	4	1		#FFF1A9	0.118585521414044
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	5	1	physical|psychophysical|tactile	#FFF1A9	0.135753902271087
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	6	1		#FEE188	0.209195059311189
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	7	1	somatosensory|stimulation	#FEE188	0.25634871137052
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	8	1	painful|pain	#FEE188	0.200073567487473
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	9	1		#FEE188	0.233658036565824
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	10	1	ratings	#FEE188	0.210896850401089
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	11	1	affective|affect	#FFFFCC	0.0777916314009106
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	12	1	emotions	#FFF1A9	0.164701630970504
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	13	1	expression|expressions|facial	#FEE188	0.24687521519029
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	14	1		#FFF1A9	0.196593468486514
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	15	1		#FFF1A9	0.168351668449924
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	16	1	emotion|motion|neutral	#FFF1A9	0.144554934262536
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	17	1	rating	#FFF1A9	0.194568734181571
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	18	1	negative|positive	#FEE188	0.244303602367916
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	19	1		#FEE188	0.226925713566351
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	20	1	ear|order	#FFF1A9	0.18555619519731
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	21	1	motor	#FFF1A9	0.183996678254229
14903c2b-2655-3d00-ad69-7e066dd6ad8f	Landman BA	22	1	visual	#FFF1A9	0.133758856962991
