UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	1	1	auditory|speech	#FEE188	0.214763639043769
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	2	1		#FEE188	0.222310334479274
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	3	1	da|integration	#FECB68	0.363015109363523
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	4	1		#FECB68	0.335485508490448
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	5	1	physical|psychophysical|tactile	#FECB68	0.337375632480521
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	6	1		#FDAD4A	0.414728277409832
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	7	1	somatosensory|stimulation	#FECB68	0.397547253965431
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	8	1	painful|pain	#FDAD4A	0.407545661593751
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	9	1		#FDAD4A	0.449918997209599
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	10	1	ratings	#FD913D	0.587837577147746
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	11	1	affective|affect	#FECB68	0.321927716167936
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	12	1	emotions	#FECB68	0.388331313595725
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	13	1	expression|expressions|facial	#FEE188	0.266612641499891
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	14	1		#FECB68	0.38686916539857
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	15	1		#FDAD4A	0.431907757432576
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	16	1	emotion|motion|neutral	#FECB68	0.39511867363997
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	17	1	rating	#FD913D	0.54351875255821
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	18	1	negative|positive	#FD913D	0.536020453766634
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	19	1		#FDAD4A	0.495014593910895
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	20	1	ear|order	#FDAD4A	0.412362214606468
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	21	1	motor	#FEE188	0.267424241149305
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	22	1	visual	#FEE188	0.223358850839438
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	23	1	age|image|response	#FECB68	0.304958660336981
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	1	2	sound|sounds	#FEE188	0.210013417166234
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	2	2		#FEE188	0.206059729825032
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.10889859520808
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	4	2		#FECB68	0.335912339334207
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	5	2		#FECB68	0.38237730129007
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	6	2		#FDAD4A	0.422593559958858
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	7	2	sensation	#FECB68	0.36356388701407
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	8	2	heat|noxious	#FECB68	0.308334293363225
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	9	2		#FDAD4A	0.457025486185898
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	10	2		#FD913D	0.510274468862527
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	11	2		#FD913D	0.504721865831002
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	12	2	valence	#FDAD4A	0.444994613836048
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	13	2	person|social	#FECB68	0.357614700077783
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	14	2		#FECB68	0.395311533042934
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	15	2	face|faces	#FECB68	0.365189724595069
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	16	2		#FDAD4A	0.465704443907258
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	17	2		#FD913D	0.531332907984673
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	18	2		#FD913D	0.539280766149177
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	19	2		#FD913D	0.510643764460881
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	20	2		#FDAD4A	0.404214727664859
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	21	2	images|spatial	#FECB68	0.37152853168614
193416a8-8fff-3f98-aa38-4f23081cb883	Kim BT	22	2	control	#FEE188	0.270329753989495
