UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	1	1	auditory|speech	#FDAD4A	0.497131703361278
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	2	1		#FDAD4A	0.422287176589033
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	3	1	da|integration	#FC622F	0.607617226652054
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	4	1		#FC622F	0.648798245167712
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	5	1	physical|psychophysical|tactile	#FDAD4A	0.496077982082968
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	6	1		#F03623	0.703569102347658
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	7	1	somatosensory|stimulation	#FC622F	0.60370560323575
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	8	1	painful|pain	#FC622F	0.678181911016118
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	9	1		#F03623	0.768442084221887
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	10	1	ratings	#F03623	0.754739175384336
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	11	1	affective|affect	#FC622F	0.696069662050792
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	12	1	emotions	#FD913D	0.598302861122157
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	13	1	expression|expressions|facial	#FDAD4A	0.404158558775149
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	14	1		#FC622F	0.62088268101789
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	15	1		#FC622F	0.659609328692099
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	16	1	emotion|motion|neutral	#FC622F	0.633601883655033
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	17	1	rating	#F03623	0.743758643587631
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	18	1	negative|positive	#F03623	0.735245480521033
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	19	1		#D7141E	0.836383096937636
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	20	1	ear|order	#D7141E	0.829788045308872
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	21	1	motor	#FC622F	0.682794786184251
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	22	1	visual	#FC622F	0.661804810849453
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	23	1	age|image|response	#F03623	0.785364116446645
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	1	2	sound|sounds	#FEE188	0.248416100502098
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	2	2		#FECB68	0.385992112272042
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.294014012478828
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	4	2		#FC622F	0.661090080778569
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	5	2		#FC622F	0.68006447247683
19c6fc62-c623-36c0-9457-d0b2dd2efecc	Leung HC	6	2		#F03623	0.725656437237635
