UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	1	1	auditory|speech	#FC622F	0.672681254630469
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	2	1		#FC622F	0.685837347676198
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	3	1	da|integration	#F03623	0.737112382134093
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	4	1		#FC622F	0.675891052905843
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	5	1	physical|psychophysical|tactile	#FECB68	0.315889285257928
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	6	1		#FDAD4A	0.44311887528026
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	7	1	somatosensory|stimulation	#FECB68	0.36278376202863
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	8	1	painful|pain	#FECB68	0.357534115447716
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	9	1		#FD913D	0.506727218345744
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	10	1	ratings	#F03623	0.786845474589056
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	11	1	affective|affect	#D7141E	0.852117720051619
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	12	1	emotions	#B10026	1
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	13	1	expression|expressions|facial	#D7141E	0.853369676963767
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	14	1		#B10026	0.985238868716601
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	15	1		#B10026	0.966723238603955
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	16	1	emotion|motion|neutral	#D7141E	0.872136955954689
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	17	1	rating	#D7141E	0.800778341762171
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	18	1	negative|positive	#FC622F	0.698194210634235
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	19	1		#FC622F	0.673345102090631
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	20	1	ear|order	#FC622F	0.628519784115523
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	21	1	motor	#FECB68	0.309088900026354
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	22	1	visual	#FDAD4A	0.422876413879805
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	23	1	age|image|response	#FD913D	0.575870748650767
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	1	2	sound|sounds	#FC622F	0.604355577245369
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	2	2		#FC622F	0.690490785456066
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.591159331558704
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	4	2		#FC622F	0.678101628853453
1bfc79fd-7526-3ef9-890c-99aa8595a5d0	Boesiger P	5	2		#FD913D	0.561174955426359
