UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	1	auditory|speech	#FECB68	0.335334031968475
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	1		#FECB68	0.367578283186708
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	1	da|integration	#FC622F	0.620066230842177
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	1		#FC622F	0.62786852802128
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	1	physical|psychophysical|tactile	#FDAD4A	0.484848220354903
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	1		#FDAD4A	0.472612687760991
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	7	1	somatosensory|stimulation	#FEE188	0.283863831279986
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	8	1	painful|pain	#FEE188	0.269226609509253
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	9	1		#FECB68	0.367447500235213
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	10	1	ratings	#FC622F	0.601844727554709
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	11	1	affective|affect	#FC622F	0.629439213313938
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	12	1	emotions	#FD913D	0.568611763549367
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	13	1	expression|expressions|facial	#FDAD4A	0.489512086560382
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	14	1		#FC622F	0.655416371707382
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	15	1		#FC622F	0.685513664215778
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	16	1	emotion|motion|neutral	#FC622F	0.655048310104012
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	17	1	rating	#FD913D	0.564479892719863
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	18	1	negative|positive	#FD913D	0.526534271213593
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	19	1		#FC622F	0.609413003317013
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	20	1	ear|order	#FD913D	0.599319453858598
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	21	1	motor	#FECB68	0.305116835591877
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	22	1	visual	#FDAD4A	0.466133485327821
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	23	1	age|image|response	#FDAD4A	0.486326764415408
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	2	sound|sounds	#FEE188	0.282734782917833
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	2		#FECB68	0.33316851457983
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.458479530985554
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	2		#FC622F	0.64720839947875
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	2		#FC622F	0.644268792170604
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	2		#FD913D	0.51928417474181
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	7	2	sensation	#FFF1A9	0.165232819926905
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	8	2	heat|noxious	#FEE188	0.23250716568656
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	9	2		#FDAD4A	0.405469768674199
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	10	2		#FC622F	0.622557511447188
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	11	2		#FC622F	0.652360849504409
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	12	2	valence	#FC622F	0.687719386257289
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	13	2	person|social	#FD913D	0.579624343233513
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	14	2		#FC622F	0.683059869976846
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	15	2	face|faces	#FD913D	0.581082330465699
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	16	2		#F03623	0.711426860348772
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	17	2		#FC622F	0.699174914358897
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	18	2		#FC622F	0.687332384177601
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	19	2		#FC622F	0.652937978302058
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	20	2		#FD913D	0.579296035325668
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	21	2	images|spatial	#FD913D	0.51339907755098
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	22	2	control	#FD913D	0.516348969410399
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	23	2	time	#FDAD4A	0.486448991969197
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.132385542009527
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	3	noise|tones	#FEE188	0.273986929413767
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	3		#FD913D	0.510071647475669
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	3		#FC622F	0.640218961759287
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	3	frequency	#FC622F	0.646259003549785
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	3		#FC622F	0.625324839236722
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	7	3		#FECB68	0.33978836521206
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	8	3	temperature	#FFF1A9	0.191446011530308
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	9	3		#FDAD4A	0.415142526332367
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	10	3	pleasant|unpleasant	#FDAD4A	0.483856537239091
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	11	3	anxiety	#FDAD4A	0.430991217470023
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	12	3		#FC622F	0.686760642077994
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	13	3		#F03623	0.793042413177157
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	14	3		#D7141E	0.805496072685822
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	15	3		#D7141E	0.820332748821249
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	16	3	picture	#D7141E	0.821122330301481
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	17	3		#F03623	0.775023509028774
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	18	3	value	#F03623	0.702401068473531
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	19	3	cue	#F03623	0.732282627891977
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	20	3	error|target	#FC622F	0.617025350841997
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	21	3	attention	#FC622F	0.611814158637382
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	22	3		#FD913D	0.593232851388269
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	23	3	number	#FD913D	0.576248351607584
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	4	voice	#FFF1A9	0.167229207744037
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	4		#FECB68	0.322575635678459
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	4	hearing	#FECB68	0.399706606550578
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	4		#FD913D	0.523293403331808
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	4	overt	#FC622F	0.611680562571376
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	4		#FD913D	0.525657694019698
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	7	4		#FDAD4A	0.424408448730962
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.300447230345786
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	9	4	unpleasantness	#FECB68	0.389235062042731
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	10	4	skin|subjective	#FC622F	0.620028652331377
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	11	4	depression	#FC622F	0.663493313478493
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	12	4	experience	#FC622F	0.664956639695183
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	13	4	female	#F03623	0.726402472708951
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	14	4	male	#D7141E	0.863930340647249
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	15	4	pictures	#D7141E	0.854551565471878
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	16	4		#D7141E	0.860179950113225
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	17	4	perception	#FC622F	0.692025298642214
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	18	4		#F03623	0.794410982970167
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	19	4		#F03623	0.747651667118148
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	20	4		#F03623	0.712903631038923
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	21	4	correct	#F03623	0.702302817350146
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	22	4	work	#FC622F	0.654430660155631
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	23	4	memory	#FD913D	0.583015386250377
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	5	prosodic|prosody	#FEE188	0.240880704729647
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	5	phonetic	#FECB68	0.373891478470937
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	5	syllable|syllables	#FDAD4A	0.411428988129945
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	5		#FDAD4A	0.47149585958358
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	5	lip|production	#FEE188	0.209368818094724
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	5	somatotopic	#FFFFCC	0.0396285192462928
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	7	5		#FD913D	0.536949520453005
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	8	5		#FD913D	0.556414767174718
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	9	5	empathy	#FC622F	0.608884362136485
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	10	5		#F03623	0.716986984896665
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	11	5	disorder	#F03623	0.736324321218195
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	12	5		#F03623	0.761357688757012
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	13	5		#D7141E	0.818708896225685
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	14	5		#D7141E	0.856254097397325
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	15	5		#D7141E	0.869753772110807
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	16	5		#D7141E	0.855476442757477
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	17	5		#D7141E	0.842603132973706
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	18	5	mental	#F03623	0.774480423287938
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	19	5	go	#F03623	0.711976931105723
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	20	5	object	#FD913D	0.566852442583982
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	21	5		#F03623	0.711914928813282
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	22	5		#FC622F	0.645272890889333
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	23	5	word|words	#FD913D	0.520818975125596
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	1	6		#FD913D	0.524718378770968
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	2	6		#FD913D	0.571840406350751
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	3	6		#FD913D	0.596299471005199
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	4	6	vocal	#FFF1A9	0.117956438730715
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	5	6	articulatory	#FEE188	0.284895282315751
1d534cf8-1ed4-36b2-8206-eb86676dfbf1	Yamada J	6	6		#FD913D	0.50050009285799
