UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	1	1	auditory|speech	#FEE188	0.292238967512837
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	2	1		#FEE188	0.288636562030082
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	3	1	da|integration	#FD913D	0.536548324686699
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	4	1		#FDAD4A	0.453576186163166
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	5	1	physical|psychophysical|tactile	#FEE188	0.292611721433599
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	6	1		#FEE188	0.296636271185078
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	7	1	somatosensory|stimulation	#FEE188	0.215579537947579
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	8	1	painful|pain	#FFF1A9	0.125126173944233
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	9	1		#FFF1A9	0.185240623709091
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	10	1	ratings	#FEE188	0.296728496078791
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	11	1	affective|affect	#FEE188	0.299275228742752
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	12	1	emotions	#FECB68	0.33043052938211
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	13	1	expression|expressions|facial	#FDAD4A	0.404711766898524
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	14	1		#FDAD4A	0.49868786363055
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	15	1		#FD913D	0.507248872036248
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	16	1	emotion|motion|neutral	#FDAD4A	0.466455697230732
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	17	1	rating	#FECB68	0.374748948553608
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	18	1	negative|positive	#FDAD4A	0.434397148643293
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	19	1		#FD913D	0.591200049076142
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	20	1	ear|order	#FC622F	0.61039142451867
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	21	1	motor	#FDAD4A	0.464501763424429
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	22	1	visual	#FC622F	0.678920366711175
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	23	1	age|image|response	#FC622F	0.600370473821353
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	1	2	sound|sounds	#FFF1A9	0.161637990003678
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	2	2		#FEE188	0.247462905672262
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.338765266181909
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	4	2		#FDAD4A	0.476744484599972
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	5	2		#FDAD4A	0.432444817042728
1e86359c-5808-3f6d-ba8f-8e6c060f8203	Fehr T	6	2		#FECB68	0.341118990353347
