UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	1	1	auditory|speech	#FEE188	0.227148784777666
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	2	1		#FFF1A9	0.194527038948679
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	3	1	da|integration	#FECB68	0.361606120560525
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	4	1		#FDAD4A	0.422121023386106
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	5	1	physical|psychophysical|tactile	#FDAD4A	0.451181765806553
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	6	1		#FD913D	0.545652573590315
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	7	1	somatosensory|stimulation	#FDAD4A	0.473290277322521
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	8	1	painful|pain	#FD913D	0.529291448951081
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	9	1		#FD913D	0.556840055391299
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	10	1	ratings	#FC622F	0.634752674084504
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	11	1	affective|affect	#FDAD4A	0.496729788452246
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	12	1	emotions	#FDAD4A	0.462634174000641
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	13	1	expression|expressions|facial	#FFF1A9	0.195678073815199
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	14	1		#FDAD4A	0.467770147177697
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	15	1		#FD913D	0.532186702363814
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	16	1	emotion|motion|neutral	#FD913D	0.556158669277728
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	17	1	rating	#F03623	0.711636250019698
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	18	1	negative|positive	#F03623	0.774701094688024
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	19	1		#F03623	0.715921729088874
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	20	1	ear|order	#FC622F	0.608955747952946
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	21	1	motor	#FDAD4A	0.494622979593735
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	22	1	visual	#FDAD4A	0.471183533299348
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	23	1	age|image|response	#FC622F	0.628294450584052
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	1	2	sound|sounds	#FFF1A9	0.10520518212384
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	2	2		#FFF1A9	0.164142640146426
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.059823461557073
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	4	2		#FDAD4A	0.425838444299549
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	5	2		#FD913D	0.500312182791267
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	6	2		#FD913D	0.557656755221257
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	7	2	sensation	#FECB68	0.395336615934064
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	8	2	heat|noxious	#FDAD4A	0.470611073422243
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	9	2		#FD913D	0.57008124422253
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	10	2		#FC622F	0.622865110432063
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	11	2		#FC622F	0.628115887822441
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	12	2	valence	#FD913D	0.547082194633842
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	13	2	person|social	#F03623	0.79829058590918
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	14	2		#FDAD4A	0.474623284876317
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	15	2	face|faces	#FDAD4A	0.403001501923675
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	16	2		#FC622F	0.617224619383212
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	17	2		#F03623	0.703771326901648
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	18	2		#F03623	0.74135402903145
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	19	2		#F03623	0.712924640105345
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	20	2		#FC622F	0.627604043786059
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	21	2	images|spatial	#FD913D	0.590481869714353
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	22	2	control	#FC622F	0.627267398551643
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	23	2	time	#FC622F	0.63518520482569
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0288480532393134
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	2	3	noise|tones	#FFFFCC	0.0984013717957007
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	3	3		#FEE188	0.254908990441196
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	4	3		#FECB68	0.36779688430501
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	5	3	frequency	#FDAD4A	0.472119866784695
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	6	3		#FD913D	0.568356588781328
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	7	3		#FD913D	0.500714507819624
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	8	3	temperature	#FDAD4A	0.492562706535673
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	9	3		#FD913D	0.532891912399119
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	10	3	pleasant|unpleasant	#FDAD4A	0.444233743754278
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	11	3	anxiety	#FD913D	0.520655624212563
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	12	3		#FC622F	0.633677083842007
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	13	3		#FC622F	0.622921919132871
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	14	3		#FD913D	0.540466205689814
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	15	3		#FD913D	0.548548823477904
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	16	3	picture	#FD913D	0.560149750879285
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	17	3		#FC622F	0.676208860152159
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	18	3	value	#F03623	0.733525481431932
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	19	3	cue	#FD913D	0.589189080875896
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	20	3	error|target	#FC622F	0.650499465835369
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	21	3	attention	#FD913D	0.566183612940744
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	22	3		#FC622F	0.619789052490171
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	23	3	number	#FC622F	0.641536491319663
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	1	4	voice	#FFFFCC	0.0375809267400987
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	2	4		#FFF1A9	0.142866273871904
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	3	4	hearing	#FFF1A9	0.130953240904631
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	4	4		#FECB68	0.310686091853374
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	5	4	overt	#FECB68	0.365880350001638
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	6	4		#FDAD4A	0.4060760012337
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	7	4		#FD913D	0.524928365592318
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.33028419651082
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	9	4	unpleasantness	#FD913D	0.533407816098458
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	10	4	skin|subjective	#FD913D	0.541658752598303
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	11	4	depression	#FC622F	0.689108580708015
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	12	4	experience	#FC622F	0.684949134898407
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	13	4	female	#FD913D	0.510371463611519
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	14	4	male	#FD913D	0.578107604057003
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	15	4	pictures	#FDAD4A	0.444038740120217
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	16	4		#FD913D	0.568071055435641
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	17	4	perception	#FDAD4A	0.46608112507847
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	18	4		#FC622F	0.639096083293329
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	19	4		#FC622F	0.63732692035889
20404204-9b70-35b1-bb1b-fe6664b008b1	Zhang X	20	4		#FC622F	0.616975492072556
