UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	1	1	auditory|speech	#FDAD4A	0.412225878376163
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	2	1		#FECB68	0.390142384506891
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	3	1	da|integration	#FD913D	0.507846097231752
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	4	1		#FC622F	0.607109102667462
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	5	1	physical|psychophysical|tactile	#FC622F	0.645857106554656
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	6	1		#D7141E	0.861296487858681
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	7	1	somatosensory|stimulation	#B10026	0.940755093485838
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	8	1	painful|pain	#D7141E	0.802081045859401
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	9	1		#D7141E	0.816601866604295
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	10	1	ratings	#FC622F	0.63720227623832
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	11	1	affective|affect	#FDAD4A	0.421487731003227
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	12	1	emotions	#FECB68	0.345442555695416
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	13	1	expression|expressions|facial	#FEE188	0.208797039540128
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	14	1		#FECB68	0.321982401818181
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	15	1		#FECB68	0.325128255888892
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	16	1	emotion|motion|neutral	#FEE188	0.295749424946723
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	17	1	rating	#FD913D	0.551435931443021
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	18	1	negative|positive	#FD913D	0.555372953229606
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	19	1		#FC622F	0.612928645368004
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	20	1	ear|order	#FD913D	0.564222901714228
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	21	1	motor	#FC622F	0.683319432699368
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	22	1	visual	#FDAD4A	0.456939702475394
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	23	1	age|image|response	#FD913D	0.589911103228736
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	1	2	sound|sounds	#FECB68	0.336413398549941
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	2	2		#FECB68	0.351281767591198
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.210987234244789
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	4	2		#FC622F	0.608964799552224
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	5	2		#F03623	0.737048344495278
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	6	2		#D7141E	0.865549740399693
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	7	2	sensation	#F03623	0.752788067706923
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	8	2	heat|noxious	#F03623	0.792876753939654
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	9	2		#D7141E	0.824407735968453
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	10	2		#FC622F	0.635670115205776
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	11	2		#FD913D	0.558229160388163
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	12	2	valence	#FECB68	0.398636544218353
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	13	2	person|social	#FDAD4A	0.412949399449373
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	14	2		#FECB68	0.331788744047565
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	15	2	face|faces	#FEE188	0.242384940910547
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	16	2		#FDAD4A	0.405153849062491
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	17	2		#FDAD4A	0.48750512180298
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	18	2		#FD913D	0.594769862560606
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	19	2		#FC622F	0.636302257189428
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	20	2		#FC622F	0.640952475011517
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	21	2	images|spatial	#FD913D	0.580389775052012
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	22	2	control	#FC622F	0.626661990209117
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	23	2	time	#FC622F	0.621711022046455
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.182228135971863
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	2	3	noise|tones	#FEE188	0.246347987402455
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	3	3		#FDAD4A	0.421353314378221
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	4	3		#FD913D	0.548015093910712
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	5	3	frequency	#F03623	0.70699768153984
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	6	3		#D7141E	0.838519790591168
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	7	3		#D7141E	0.824743475019575
2092f5a0-81e9-32cb-af0a-32cfe03af50c	Carrier J	8	3	temperature	#F03623	0.744845226567956
