UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	1	1	auditory|speech	#FEE188	0.203354690037223
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	2	1		#FFF1A9	0.188881272990753
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	3	1	da|integration	#FECB68	0.341605603425684
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	4	1		#FECB68	0.354246248466071
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	5	1	physical|psychophysical|tactile	#FDAD4A	0.418723962415864
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	6	1		#FECB68	0.299739339144469
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	7	1	somatosensory|stimulation	#FEE188	0.234916983936361
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	8	1	painful|pain	#FFFFCC	0.0863316614328701
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	9	1		#FFF1A9	0.103392951376964
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	10	1	ratings	#FFF1A9	0.135636794547478
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	11	1	affective|affect	#FFF1A9	0.180120950228247
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	12	1	emotions	#FFF1A9	0.155405140326024
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	13	1	expression|expressions|facial	#FFF1A9	0.133745390735744
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	14	1		#FEE188	0.211045405455876
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	15	1		#FEE188	0.232518374751386
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	16	1	emotion|motion|neutral	#FEE188	0.240696684093184
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	17	1	rating	#FFF1A9	0.188738838856336
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	18	1	negative|positive	#FEE188	0.28710691450653
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	19	1		#FDAD4A	0.475241732392115
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	20	1	ear|order	#FD913D	0.51665939821887
21ed071a-3ef0-3a44-b945-1064e4d986f3	Corbetta M	21	1	motor	#FD913D	0.523890201183419
