UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	1	auditory|speech	#F03623	0.763919787264814
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	1		#F03623	0.718142533903553
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	1	da|integration	#FC622F	0.604748838582009
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	1		#B10026	0.90637063297498
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	1	physical|psychophysical|tactile	#B10026	0.918657973391477
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	1		#B10026	0.953698713539529
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	1	somatosensory|stimulation	#B10026	0.922304208118893
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	1	painful|pain	#F03623	0.708461166992654
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	1		#F03623	0.709211122159254
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	1	ratings	#FD913D	0.502172657475594
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	1	affective|affect	#FECB68	0.378954722508264
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	1	emotions	#FECB68	0.31563907667149
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	1	expression|expressions|facial	#FFF1A9	0.121762904710365
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	1		#FEE188	0.265182357285141
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	1		#FECB68	0.331603035082517
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	1	emotion|motion|neutral	#FECB68	0.381300919293423
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	1	rating	#FDAD4A	0.480554634691519
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	1	negative|positive	#FDAD4A	0.458899595105874
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	1		#FC622F	0.606965659703038
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	1	ear|order	#FC622F	0.6359915746406
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	1	motor	#F03623	0.752074580276188
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	1	visual	#FD913D	0.554518555118462
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	1	age|image|response	#FC622F	0.635037868616802
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	2	sound|sounds	#FC622F	0.655780272544396
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	2		#F03623	0.701676519174522
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.500311172005079
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	2		#D7141E	0.899612731419765
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	2		#B10026	0.982488724819975
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	2		#B10026	0.97511103251275
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	2	sensation	#FC622F	0.683569817784749
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	2	heat|noxious	#FC622F	0.656258048178418
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	2		#FC622F	0.694165822290377
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	2		#FD913D	0.54573504092687
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	2		#FDAD4A	0.474327592087877
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	2	valence	#FEE188	0.270735105763036
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	2	person|social	#FEE188	0.27947946590734
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	2		#FEE188	0.284887097748357
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	2	face|faces	#FEE188	0.22086029183099
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	2		#FDAD4A	0.420077869950941
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	2		#FDAD4A	0.487322518278019
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	2		#FD913D	0.577405933677059
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	2		#FC622F	0.63483817340331
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	2		#FC622F	0.672568990426477
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	2	images|spatial	#FC622F	0.642239228036376
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	2	control	#FC622F	0.616332702481483
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	2	time	#FC622F	0.636352876619131
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	3	acoustic|listening|musical|music|pitch	#FC622F	0.60588720124632
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	3	noise|tones	#FD913D	0.594230712206257
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	3		#F03623	0.779007320414138
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	3		#D7141E	0.845372935731914
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	3	frequency	#D7141E	0.889055842688403
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	3		#B10026	0.954694105148854
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	3		#F03623	0.768689980902543
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	3	temperature	#FD913D	0.560025296737653
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	3		#FC622F	0.697126423354371
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	3	pleasant|unpleasant	#FDAD4A	0.472034728126014
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	3	anxiety	#FDAD4A	0.426066966351137
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	3		#FDAD4A	0.487450963650853
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	3		#FDAD4A	0.489386315053839
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	3		#FDAD4A	0.400922602147334
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	3		#FDAD4A	0.415595561840661
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	3	picture	#FDAD4A	0.415974569748948
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	3		#FD913D	0.537349180874842
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	3	value	#FC622F	0.699596956125085
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	3	cue	#FC622F	0.632777052686429
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	3	error|target	#FC622F	0.658132989083577
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	3	attention	#FD913D	0.583012350943189
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	3		#FD913D	0.600097800936495
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	3	number	#FC622F	0.602967327291185
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	4	voice	#FD913D	0.506886593922968
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	4		#FC622F	0.636343035561221
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	4	hearing	#FD913D	0.503959854668744
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	4		#D7141E	0.82906557274245
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	4	overt	#F03623	0.751682967226241
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	4		#D7141E	0.887886375453167
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	4		#F03623	0.799555506013672
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	4	nociceptive|nonpainful|painrelated	#FC622F	0.639491311558294
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	4	unpleasantness	#FC622F	0.619012364419896
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	4	skin|subjective	#FD913D	0.545177794070878
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	4	depression	#FD913D	0.582904475997225
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	4	experience	#FD913D	0.59300718457908
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	4	female	#FD913D	0.547657127162485
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	4	male	#FD913D	0.549117663253868
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	4	pictures	#FECB68	0.360778605667813
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	4		#FD913D	0.524517343855683
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	4	perception	#FC622F	0.605827650517291
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	4		#FC622F	0.642723022643802
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	4		#FC622F	0.63040739280004
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	4		#FC622F	0.615036767194982
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	4	correct	#FD913D	0.551216922401165
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	4	work	#FD913D	0.596598141536466
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	4	memory	#FDAD4A	0.490942709900349
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	5	prosodic|prosody	#FDAD4A	0.445214812050755
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	5	phonetic	#FD913D	0.556144705457379
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	5	syllable|syllables	#FC622F	0.64814488286214
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	5		#F03623	0.795765934501501
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	5	lip|production	#F03623	0.782425263620013
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	5	somatotopic	#F03623	0.701869839320436
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	5		#D7141E	0.821019140537428
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	5		#FC622F	0.694590457845603
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	5	empathy	#FC622F	0.650772904586559
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	5		#FC622F	0.628374960541073
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	5	disorder	#FD913D	0.545657691573626
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	5		#FC622F	0.636037282858081
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	5		#FC622F	0.643514236114374
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	5		#FD913D	0.566983182189898
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	5		#FD913D	0.55899658749266
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	5		#FD913D	0.590101291601109
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	5		#FC622F	0.611384498692272
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	5	mental	#FD913D	0.530288819824847
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	5	go	#FD913D	0.592955237370348
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	5	object	#FDAD4A	0.460683634908717
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	5		#FD913D	0.597410329894328
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	5		#FD913D	0.559718153349386
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	5	word|words	#FD913D	0.51923780512885
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	6		#FD913D	0.58462329972577
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	6		#FC622F	0.630108907351869
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	6		#F03623	0.761984663442381
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	6	vocal	#F03623	0.705952050360291
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	6	articulatory	#FC622F	0.61824884901194
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	6		#D7141E	0.839050816296965
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	6	oddball	#FC622F	0.645172699574016
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	6	perceived	#FDAD4A	0.450276354601431
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	6	errorrelated	#FDAD4A	0.460637236513513
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	6	approach	#FDAD4A	0.483246781372531
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	6	schizophrenia	#FD913D	0.524783898641498
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	6	acquisition	#FC622F	0.660478835033026
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	6		#FC622F	0.606829444703797
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	6		#FD913D	0.502398273114868
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	6		#FD913D	0.507030673646926
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	6		#FD913D	0.527691679303468
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	6		#FD913D	0.570036196485914
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	6		#FD913D	0.571899899435945
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	6		#FD913D	0.581709751029886
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	6	objects	#FDAD4A	0.476108406271907
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	6		#FD913D	0.589899227124176
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	6		#FD913D	0.561382536807272
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	6	language|semantic	#FD913D	0.506222782015514
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	7	dopamine|dopaminergic	#FECB68	0.310308391051373
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	7		#FECB68	0.369255553723664
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	7		#FD913D	0.530512921427976
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	7		#FC622F	0.646943564563256
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	7		#FC622F	0.660785544351124
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	7		#F03623	0.712151978232089
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	7	7		#FC622F	0.655311374255779
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	8	7		#FD913D	0.551833368928961
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	9	7		#FD913D	0.553341080551334
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	10	7		#FD913D	0.551304525711699
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	11	7		#FD913D	0.572548919119321
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	12	7		#FD913D	0.573031282785467
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	13	7	linguistic|spoken	#FDAD4A	0.427573678845379
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	14	7		#FDAD4A	0.48121855169066
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	15	7	comprehension|sentence|sentences|syntactic	#FDAD4A	0.43324628361486
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	16	7		#FDAD4A	0.488592750859086
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	17	7		#FD913D	0.542126379009506
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	18	7	phonological|reading|read	#FD913D	0.536478011490067
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	19	7		#FD913D	0.557489478213453
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	20	7	perceptual|recognition	#FD913D	0.517159763354494
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	21	7		#FD913D	0.586863174439082
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	22	7		#FD913D	0.582848374531409
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	23	7	verb	#FC622F	0.613576549725463
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	1	8	outcome|reward	#FECB68	0.31999114931536
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	2	8	anticipation	#FECB68	0.32521924863463
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	3	8	outcomes	#FEE188	0.230642319258443
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	4	8	choice|choices	#FECB68	0.329924942557204
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	5	8	decisions|probability	#FD913D	0.592772522994334
21fc0b6c-6cf5-3eae-887d-4b4ca19f4523	Zhao H	6	8	reversal	#FECB68	0.392716591738324
