UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	1	1	auditory|speech	#FECB68	0.325271866731517
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	2	1		#FECB68	0.326754014195309
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	3	1	da|integration	#FD913D	0.520963964150601
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	4	1		#FD913D	0.522221498803596
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	5	1	physical|psychophysical|tactile	#FDAD4A	0.487779342997784
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	6	1		#FD913D	0.557631395855524
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	7	1	somatosensory|stimulation	#FDAD4A	0.414101065369773
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	8	1	painful|pain	#FD913D	0.519106479910669
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	9	1		#FD913D	0.598440687073812
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	10	1	ratings	#FC622F	0.694597380772039
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	11	1	affective|affect	#D7141E	0.811323991728615
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	12	1	emotions	#F03623	0.727844612001564
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	13	1	expression|expressions|facial	#FD913D	0.551342483078383
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	14	1		#FC622F	0.625578183686024
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	15	1		#FD913D	0.597817190031034
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	16	1	emotion|motion|neutral	#FD913D	0.556331041471712
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	17	1	rating	#FC622F	0.608593178684218
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	18	1	negative|positive	#FD913D	0.583457384070636
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	19	1		#FD913D	0.533824869486529
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	20	1	ear|order	#FDAD4A	0.494928707243171
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	21	1	motor	#FEE188	0.289856934114009
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	22	1	visual	#FEE188	0.207509735158593
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	23	1	age|image|response	#FDAD4A	0.420967895534245
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	1	2	sound|sounds	#FEE188	0.274372746017167
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	2	2		#FECB68	0.322415583571458
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.146809537399374
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	4	2		#FD913D	0.512645484598146
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	5	2		#FD913D	0.534217553986966
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	6	2		#FD913D	0.562595676206696
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	7	2	sensation	#FDAD4A	0.416169453965482
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	8	2	heat|noxious	#FD913D	0.524398894149364
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	9	2		#FC622F	0.645942957721007
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	10	2		#D7141E	0.834362011444789
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	11	2		#D7141E	0.84634521278356
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	12	2	valence	#F03623	0.730032453004476
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	13	2	person|social	#F03623	0.722814215563741
22c17b5c-eee2-396d-b068-fd1ac3a001ee	Blumberg HP	14	2		#FC622F	0.639041782951441
