UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	1	1	auditory|speech	#FFF1A9	0.118974546456147
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	2	1		#FFF1A9	0.146139946631615
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	3	1	da|integration	#FDAD4A	0.412755849019359
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	4	1		#FEE188	0.264995440413058
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	5	1	physical|psychophysical|tactile	#FFF1A9	0.135556627497978
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	6	1		#FFF1A9	0.116461789320491
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	7	1	somatosensory|stimulation	#FFFFCC	0.0542369735895296
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	8	1	painful|pain	#FFFFCC	0.00107091675846653
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	9	1		#FFFFCC	0.0427657735382183
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	10	1	ratings	#FFF1A9	0.191212706560673
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	11	1	affective|affect	#FFF1A9	0.102931051523099
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	12	1	emotions	#FFF1A9	0.17931848317538
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	13	1	expression|expressions|facial	#FECB68	0.337360216961869
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	14	1		#FDAD4A	0.461241434534464
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	15	1		#FDAD4A	0.48754003418608
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	16	1	emotion|motion|neutral	#FECB68	0.393201208253407
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	17	1	rating	#FEE188	0.252399844688106
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	18	1	negative|positive	#FEE188	0.202760502917657
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	19	1		#FECB68	0.31841108203309
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	20	1	ear|order	#FEE188	0.287099342537528
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	21	1	motor	#FEE188	0.206317100633924
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	22	1	visual	#FC622F	0.652001915418295
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	23	1	age|image|response	#FECB68	0.383816187535079
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	1	2	sound|sounds	#FFFFCC	0.0753255007108777
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	2	2		#FFF1A9	0.120799339600178
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	3	2	audiovisual|bimodal|crossmodal	#FDAD4A	0.449503131321598
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	4	2		#FEE188	0.291842570033737
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	5	2		#FEE188	0.274432074180717
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	6	2		#FFF1A9	0.154076732931041
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	7	2	sensation	#FFFFCC	0.00726811875525172
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	8	2	heat|noxious	#FFFFCC	0.00121668081049438
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	9	2		#FFFFCC	0.0628096328283339
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	10	2		#FFF1A9	0.144150419947608
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	11	2		#FFF1A9	0.174040028523363
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	12	2	valence	#FEE188	0.203965531179102
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	13	2	person|social	#FFF1A9	0.199290420457057
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	14	2		#FDAD4A	0.472116693650012
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	15	2	face|faces	#F03623	0.743859659430614
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	16	2		#FDAD4A	0.495770926008835
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	17	2		#FECB68	0.39116248504852
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	18	2		#FECB68	0.358760899486124
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	19	2		#FECB68	0.347999021435232
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	20	2		#FECB68	0.388794613615534
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	21	2	images|spatial	#FDAD4A	0.489497805523368
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	22	2	control	#FECB68	0.306888122700691
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	23	2	time	#FECB68	0.385317231737982
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.000147630054291798
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	2	3	noise|tones	#FFFFCC	0.0890597851050738
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	3	3		#FEE188	0.2137752938216
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	4	3		#FECB68	0.30630879183783
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	5	3	frequency	#FECB68	0.362745032672008
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	6	3		#FEE188	0.229653740025746
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	7	3		#FFFFCC	0.0394193527367481
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	8	3	temperature	#FFFFCC	0.00450753125154241
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	9	3		#FFFFCC	0.067501588778732
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	10	3	pleasant|unpleasant	#FFF1A9	0.193808046242769
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	11	3	anxiety	#FFFFCC	0.0561207305513377
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	12	3		#FFF1A9	0.189313278415501
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	13	3		#FECB68	0.335826533100865
23203b5d-91a4-38cb-911c-0ef60b696f0d	Byatt G	14	3		#FDAD4A	0.459836596313228
