UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	1	1	auditory|speech	#FFF1A9	0.159009463269863
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	2	1		#FFF1A9	0.138142561118933
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	3	1	da|integration	#FEE188	0.262620000579939
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	4	1		#FEE188	0.237828716394306
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	5	1	physical|psychophysical|tactile	#FEE188	0.206918524579541
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	6	1		#FECB68	0.394939234330101
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	7	1	somatosensory|stimulation	#FECB68	0.39713218510384
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	8	1	painful|pain	#FD913D	0.529739208519589
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	9	1		#FD913D	0.53531279633019
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	10	1	ratings	#FD913D	0.524379935677702
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	11	1	affective|affect	#FD913D	0.557636450828796
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	12	1	emotions	#FDAD4A	0.41858374909397
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	13	1	expression|expressions|facial	#FECB68	0.3038247052639
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	14	1		#FDAD4A	0.403998049949469
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	15	1		#FDAD4A	0.435293037265899
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	16	1	emotion|motion|neutral	#FDAD4A	0.467620110426666
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	17	1	rating	#FD913D	0.517070554860537
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	18	1	negative|positive	#FD913D	0.515249833834946
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	19	1		#FDAD4A	0.465416730430921
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	20	1	ear|order	#FDAD4A	0.402300324343703
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	21	1	motor	#FEE188	0.298894493213466
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	22	1	visual	#FEE188	0.217183031311381
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	23	1	age|image|response	#FECB68	0.347874054764292
24042886-e4a7-3eea-9c13-515629af9386	Snyder A	1	2	sound|sounds	#FFFFCC	0.0815004272990889
