UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	1	1	auditory|speech	#FD913D	0.516197672012788
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	2	1		#FDAD4A	0.490816523191583
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	3	1	da|integration	#FDAD4A	0.473281402763902
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	4	1		#FC622F	0.641925453660545
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	5	1	physical|psychophysical|tactile	#FC622F	0.653275295374798
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	6	1		#B10026	0.906919167217534
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	7	1	somatosensory|stimulation	#B10026	0.943910671213643
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	8	1	painful|pain	#B10026	0.98960620394738
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	9	1		#B10026	1
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	10	1	ratings	#F03623	0.783044448912468
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	11	1	affective|affect	#FC622F	0.612812960362092
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	12	1	emotions	#FD913D	0.557240853973225
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	13	1	expression|expressions|facial	#FECB68	0.351529284730635
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	14	1		#FDAD4A	0.470965195300913
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	15	1		#FDAD4A	0.499203320280828
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	16	1	emotion|motion|neutral	#FD913D	0.500424083152886
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	17	1	rating	#FC622F	0.684473514549022
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	18	1	negative|positive	#FD913D	0.554202775546859
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	19	1		#FD913D	0.590663461089106
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	20	1	ear|order	#FD913D	0.559844337105661
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	21	1	motor	#FC622F	0.604449977669934
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	22	1	visual	#FDAD4A	0.423382096441291
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	23	1	age|image|response	#FD913D	0.570127915086952
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	1	2	sound|sounds	#FDAD4A	0.451171315288374
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	2	2		#FDAD4A	0.464341858411938
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.190564431969899
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	4	2		#FC622F	0.639816362213733
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	5	2		#F03623	0.749008214708608
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	6	2		#B10026	0.904859073618808
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	7	2	sensation	#B10026	0.954621233063351
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	8	2	heat|noxious	#D7141E	0.868912944732463
24e2c4db-bc71-3404-afda-c34e7a02f401	Hsieh JC	9	2		#B10026	0.965842975621947
