UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	1	1	auditory|speech	#F03623	0.793112906007548
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	2	1		#F03623	0.767812778598207
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	3	1	da|integration	#FC622F	0.60447452178071
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	4	1		#FC622F	0.638556429894159
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	5	1	physical|psychophysical|tactile	#FECB68	0.345957689479731
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	6	1		#FECB68	0.330905869002586
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	7	1	somatosensory|stimulation	#FEE188	0.28856882982093
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	8	1	painful|pain	#FFF1A9	0.104123345092289
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	9	1		#FFF1A9	0.121622283489584
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	10	1	ratings	#FFF1A9	0.15513654883464
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	11	1	affective|affect	#FFF1A9	0.185143884352187
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	12	1	emotions	#FFFFCC	0.0929973176848532
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	13	1	expression|expressions|facial	#FFFFCC	0.062435389395927
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	14	1		#FFF1A9	0.113719717749097
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	15	1		#FFF1A9	0.126115226233459
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	16	1	emotion|motion|neutral	#FFF1A9	0.144751819226603
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	17	1	rating	#FFF1A9	0.154391104407106
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	18	1	negative|positive	#FFF1A9	0.129347454156028
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	19	1		#FEE188	0.224191013895489
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	20	1	ear|order	#FEE188	0.269054510074983
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	21	1	motor	#FECB68	0.378821482665226
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	22	1	visual	#FFF1A9	0.192998290681539
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	23	1	age|image|response	#FEE188	0.234488080228588
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	1	2	sound|sounds	#F03623	0.733656891701913
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	2	2		#F03623	0.774612010825663
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.585927860207128
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	4	2		#FC622F	0.660710768220021
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	5	2		#FD913D	0.582006479988259
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	6	2		#FECB68	0.385866271323411
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	7	2	sensation	#FFFFCC	0.0911218173765751
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	8	2	heat|noxious	#FFFFCC	0.0852961170712505
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	9	2		#FFF1A9	0.118790531988257
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	10	2		#FFF1A9	0.141528576890496
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	11	2		#FFF1A9	0.150914033419427
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	12	2	valence	#FFF1A9	0.114556634017845
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	13	2	person|social	#FFF1A9	0.193156386160977
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	14	2		#FFF1A9	0.1217453312922
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	15	2	face|faces	#FFFFCC	0.0867553755519254
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	16	2		#FFF1A9	0.150286201877885
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	17	2		#FFF1A9	0.163561841777976
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	18	2		#FEE188	0.201636427952376
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	19	2		#FEE188	0.235720255624016
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	20	2		#FEE188	0.263874059751627
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	21	2	images|spatial	#FFF1A9	0.191786341865324
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	22	2	control	#FEE188	0.232129416256375
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	23	2	time	#FEE188	0.236006482884921
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	1	3	acoustic|listening|musical|music|pitch	#F03623	0.77408416652012
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	2	3	noise|tones	#D7141E	0.813663667780591
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	3	3		#D7141E	0.866112571055587
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	4	3		#D7141E	0.847149846177931
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	5	3	frequency	#F03623	0.712888141141202
256f5bd5-45bf-3c9c-8760-f77d3f96b88e	Staudinger UM	6	3		#FC622F	0.62936238554186
