UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	1	1	auditory|speech	#FECB68	0.379819210009481
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	2	1		#FECB68	0.326925494726966
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	3	1	da|integration	#FD913D	0.55098516155174
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	4	1		#FDAD4A	0.448739356206342
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	5	1	physical|psychophysical|tactile	#FEE188	0.257280197258034
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	6	1		#FD913D	0.544805937169962
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	7	1	somatosensory|stimulation	#FD913D	0.597471199871895
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	8	1	painful|pain	#FD913D	0.579022491411065
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	9	1		#F03623	0.702840953720909
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	10	1	ratings	#D7141E	0.893666040735183
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	11	1	affective|affect	#D7141E	0.818483509546556
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	12	1	emotions	#D7141E	0.816053335864459
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	13	1	expression|expressions|facial	#D7141E	0.840002620336192
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	14	1		#D7141E	0.876409980662634
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	15	1		#D7141E	0.858739509955019
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	16	1	emotion|motion|neutral	#D7141E	0.846400131906889
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	17	1	rating	#D7141E	0.868058550958797
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	18	1	negative|positive	#D7141E	0.863399291010161
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	19	1		#D7141E	0.826504778672864
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	20	1	ear|order	#F03623	0.700611931368743
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	21	1	motor	#FD913D	0.549169035659252
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	22	1	visual	#FDAD4A	0.486753187524354
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	23	1	age|image|response	#FC622F	0.656137826304928
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	1	2	sound|sounds	#FFF1A9	0.193089837957532
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	2	2		#FEE188	0.282647548790322
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.209012133895206
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	4	2		#FDAD4A	0.472191641579863
25cdf9d3-189d-3310-a211-b555bb442e05	Knight RT	5	2		#FDAD4A	0.49900176786373
