UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	1	1	auditory|speech	#FFF1A9	0.167172601589713
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	2	1		#FFF1A9	0.149044752999004
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	3	1	da|integration	#FDAD4A	0.406209104921888
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	4	1		#FECB68	0.392646931867765
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	5	1	physical|psychophysical|tactile	#FDAD4A	0.399963719809491
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	6	1		#FD913D	0.528069596568824
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	7	1	somatosensory|stimulation	#FDAD4A	0.452146228972458
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	8	1	painful|pain	#FD913D	0.5511952023907
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	9	1		#FC622F	0.647409999376353
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	10	1	ratings	#D7141E	0.831031210505235
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	11	1	affective|affect	#D7141E	0.871591721072143
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	12	1	emotions	#D7141E	0.876843155415764
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	13	1	expression|expressions|facial	#FC622F	0.699674833167186
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	14	1		#D7141E	0.869563092408757
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	15	1		#B10026	0.912198234268082
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	16	1	emotion|motion|neutral	#B10026	0.932795348478127
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	17	1	rating	#D7141E	0.866964683515316
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	18	1	negative|positive	#F03623	0.739732263183908
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	19	1		#FC622F	0.630011978521733
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	20	1	ear|order	#FDAD4A	0.458807815556041
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	21	1	motor	#FEE188	0.246014842293995
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	22	1	visual	#FDAD4A	0.43096514916378
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	23	1	age|image|response	#FDAD4A	0.470969257374917
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	1	2	sound|sounds	#FFFFCC	0.056508438994573
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	2	2		#FFF1A9	0.128417037790486
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0743007652141362
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	4	2		#FECB68	0.381073690142357
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	5	2		#FDAD4A	0.418403512362467
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	6	2		#FD913D	0.515483892490601
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	7	2	sensation	#FDAD4A	0.460670634552957
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	8	2	heat|noxious	#FDAD4A	0.488524579749135
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	9	2		#FC622F	0.668569035916118
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	10	2		#D7141E	0.899792121596212
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	11	2		#B10026	0.926951156222808
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	12	2	valence	#B10026	0.998641300910361
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	13	2	person|social	#D7141E	0.883778381125171
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	14	2		#D7141E	0.882912074810633
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	15	2	face|faces	#FC622F	0.666629894363076
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	16	2		#B10026	0.91989602656671
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	17	2		#D7141E	0.900070731292929
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	18	2		#F03623	0.763199590892341
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	19	2		#FC622F	0.622675801159652
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	20	2		#FDAD4A	0.47079205602108
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	21	2	images|spatial	#FDAD4A	0.471219764499089
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	22	2	control	#FDAD4A	0.416148483076201
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	23	2	time	#FDAD4A	0.440737871676826
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0372372035850123
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	2	3	noise|tones	#FFFFCC	0.038669053498655
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	3	3		#FEE188	0.200918771035119
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	4	3		#FEE188	0.280340346405412
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	5	3	frequency	#FECB68	0.303532222023043
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	6	3		#FDAD4A	0.467663163845275
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	7	3		#FD913D	0.559813361442551
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	8	3	temperature	#FECB68	0.381799876658077
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	9	3		#FC622F	0.671713972895607
264d9d59-dd8f-3fd2-8f4b-75520cb293bb	Mensour B	10	3	pleasant|unpleasant	#FC622F	0.674270610476554
