UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	1	1	auditory|speech	#FD913D	0.517822077551847
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	2	1		#FDAD4A	0.428197826181286
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	3	1	da|integration	#FD913D	0.521270446178801
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	4	1		#FC622F	0.650229725568525
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	5	1	physical|psychophysical|tactile	#FC622F	0.695637929718726
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	6	1		#F03623	0.783484584976983
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	7	1	somatosensory|stimulation	#F03623	0.751907705261727
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	8	1	painful|pain	#FC622F	0.667978553359701
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	9	1		#FC622F	0.679932602502192
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	10	1	ratings	#FD913D	0.547759712325763
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	11	1	affective|affect	#FDAD4A	0.429816940102876
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	12	1	emotions	#FDAD4A	0.40938910986107
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	13	1	expression|expressions|facial	#FEE188	0.283549724873513
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	14	1		#FECB68	0.387508368318779
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	15	1		#FDAD4A	0.417855641413165
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	16	1	emotion|motion|neutral	#FDAD4A	0.428251259505941
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	17	1	rating	#FD913D	0.538782711241929
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	18	1	negative|positive	#FD913D	0.578227701268706
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	19	1		#F03623	0.728129449151666
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	20	1	ear|order	#F03623	0.772123907317255
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	21	1	motor	#D7141E	0.806603990198667
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	22	1	visual	#FD913D	0.598433434834969
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	23	1	age|image|response	#FC622F	0.698403427723658
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	1	2	sound|sounds	#FECB68	0.315072733287943
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	2	2		#FECB68	0.396161617351808
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.199141439159961
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	4	2		#FC622F	0.652104557975441
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	5	2		#F03623	0.76197314462383
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	6	2		#F03623	0.799224571726316
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	7	2	sensation	#FC622F	0.609254345507879
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	8	2	heat|noxious	#FD913D	0.586359466506165
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	9	2		#FC622F	0.682998886538105
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	10	2		#FC622F	0.606474707929169
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	11	2		#FD913D	0.559689954875212
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	12	2	valence	#FDAD4A	0.424651791632928
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	13	2	person|social	#FDAD4A	0.41525408541324
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	14	2		#FDAD4A	0.40908797121886
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	15	2	face|faces	#FECB68	0.306861416070225
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	16	2		#FDAD4A	0.498605714806037
275fd2c8-6ed8-3c9a-b21f-c6ad59a5bff4	Keysers C	17	2		#FD913D	0.574625261096323
