UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	1	1	auditory|speech	#FECB68	0.335851108083438
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	2	1		#FECB68	0.302584932435573
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	3	1	da|integration	#FD913D	0.533926685296818
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	4	1		#FD913D	0.525005719057336
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	5	1	physical|psychophysical|tactile	#FD913D	0.512935062325594
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	6	1		#FD913D	0.551966827336415
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	7	1	somatosensory|stimulation	#FDAD4A	0.446498169192873
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	8	1	painful|pain	#FDAD4A	0.474552789053239
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	9	1		#FD913D	0.537563403671419
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	10	1	ratings	#FD913D	0.591652923900727
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	11	1	affective|affect	#FC622F	0.696535315236336
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	12	1	emotions	#FD913D	0.582757444722058
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	13	1	expression|expressions|facial	#FDAD4A	0.433661871145259
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	14	1		#FD913D	0.594492455489173
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	15	1		#FC622F	0.617115416178571
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	16	1	emotion|motion|neutral	#FD913D	0.598094949611285
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	17	1	rating	#FC622F	0.667199561015202
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	18	1	negative|positive	#F03623	0.760897386267673
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	19	1		#F03623	0.786204856094799
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	20	1	ear|order	#F03623	0.759893965592622
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	21	1	motor	#FD913D	0.577029091347805
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	22	1	visual	#FD913D	0.589864200846406
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	23	1	age|image|response	#F03623	0.715260018753544
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	1	2	sound|sounds	#FFF1A9	0.194394735441298
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	2	2		#FEE188	0.273094142575997
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.183999501209791
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	4	2		#FD913D	0.525191105259521
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	5	2		#FD913D	0.554333126661248
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	6	2		#FD913D	0.564364653922915
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	7	2	sensation	#FDAD4A	0.424738624580274
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	8	2	heat|noxious	#FDAD4A	0.424971157232244
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	9	2		#FD913D	0.565059738767665
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	10	2		#FC622F	0.681787785757083
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	11	2		#FC622F	0.68961295918331
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	12	2	valence	#FC622F	0.617402939432305
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	13	2	person|social	#FC622F	0.637342857936575
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	14	2		#FC622F	0.612410156471524
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	15	2	face|faces	#FD913D	0.51475637773309
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	16	2		#FC622F	0.67700441500473
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	17	2		#F03623	0.737722430561429
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	18	2		#F03623	0.794513322582361
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	19	2		#D7141E	0.802283524014959
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	20	2		#F03623	0.744911445967786
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	21	2	images|spatial	#FC622F	0.685702092011643
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	22	2	control	#F03623	0.752576687851651
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	23	2	time	#F03623	0.722022575864011
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.118842195978574
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	2	3	noise|tones	#FFF1A9	0.197320703868373
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	3	3		#FECB68	0.37120309463986
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	4	3		#FDAD4A	0.464306863779974
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	5	3	frequency	#FD913D	0.506624300395705
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	6	3		#FD913D	0.579170165573937
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	7	3		#FDAD4A	0.491587246617453
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	8	3	temperature	#FDAD4A	0.46619816810173
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	9	3		#FD913D	0.570312459304847
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	10	3	pleasant|unpleasant	#FD913D	0.570122131228834
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	11	3	anxiety	#FD913D	0.593096130711451
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	12	3		#F03623	0.725450128442952
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	13	3		#F03623	0.753914797821168
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	14	3		#F03623	0.701729667695975
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	15	3		#FC622F	0.698406224215804
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	16	3	picture	#FC622F	0.679955760220749
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	17	3		#F03623	0.754372602141139
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	18	3	value	#D7141E	0.815469327770218
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	19	3	cue	#F03623	0.788131804261797
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	20	3	error|target	#F03623	0.784370262112582
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	21	3	attention	#F03623	0.725196487332625
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	22	3		#F03623	0.771157468015064
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	23	3	number	#F03623	0.770893076779818
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	1	4	voice	#FFF1A9	0.194255988176982
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	2	4		#FEE188	0.268358472176093
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	3	4	hearing	#FFF1A9	0.186903461894742
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	4	4		#FECB68	0.392655510456301
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	5	4	overt	#FDAD4A	0.439545923016655
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	6	4		#FDAD4A	0.428234520587134
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	7	4		#FD913D	0.509466905332265
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.352014873423856
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	9	4	unpleasantness	#FDAD4A	0.473076484857797
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	10	4	skin|subjective	#F03623	0.724060680888766
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	11	4	depression	#FC622F	0.677127057393593
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	12	4	experience	#F03623	0.741454385860745
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	13	4	female	#FC622F	0.673566638872471
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	14	4	male	#F03623	0.779459622045683
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	15	4	pictures	#FC622F	0.671204971503767
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	16	4		#F03623	0.723947045335964
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	17	4	perception	#FD913D	0.580802740974096
2a4e860b-5c76-321b-b6e7-4f0a86691bee	Fera F	18	4		#F03623	0.782051816627594
