UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	1	1	auditory|speech	#FEE188	0.26260360599424
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	2	1		#FEE188	0.203376113744813
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	3	1	da|integration	#FEE188	0.279153695176702
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	4	1		#FECB68	0.326485194572505
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	5	1	physical|psychophysical|tactile	#FECB68	0.341666675686176
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	6	1		#FD913D	0.552214729593184
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	7	1	somatosensory|stimulation	#FD913D	0.519021448330182
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	8	1	painful|pain	#F03623	0.713305347000289
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	9	1		#D7141E	0.81330030137477
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	10	1	ratings	#B10026	0.924938768982522
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	11	1	affective|affect	#B10026	0.994342841834962
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	12	1	emotions	#D7141E	0.896429407757201
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	13	1	expression|expressions|facial	#F03623	0.740626035441955
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	14	1		#D7141E	0.826004517929499
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	15	1		#D7141E	0.821326858346807
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	16	1	emotion|motion|neutral	#D7141E	0.823951161714807
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	17	1	rating	#D7141E	0.861980589658252
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	18	1	negative|positive	#F03623	0.792166709989004
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	19	1		#FC622F	0.661882304831171
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	20	1	ear|order	#FD913D	0.541149879192309
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	21	1	motor	#FECB68	0.366890304438802
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	22	1	visual	#FECB68	0.343832509838996
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	23	1	age|image|response	#FD913D	0.511624480836169
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	1	2	sound|sounds	#FFF1A9	0.136338484183116
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	2	2		#FFF1A9	0.185872461351959
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0511355587016928
2b8692cd-73b6-3f98-846c-112092695f5f	Critchley HD	4	2		#FECB68	0.318772637929141
