UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	1	1	auditory|speech	#FEE188	0.271086842859697
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	2	1		#FEE188	0.251769501746145
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	3	1	da|integration	#FD913D	0.564979037414537
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	4	1		#FDAD4A	0.456172567747285
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	5	1	physical|psychophysical|tactile	#FEE188	0.289924798271882
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	6	1		#FDAD4A	0.458564787324861
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	7	1	somatosensory|stimulation	#FECB68	0.376923904563139
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	8	1	painful|pain	#FECB68	0.398864274679857
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	9	1		#FD913D	0.515791880734722
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	10	1	ratings	#F03623	0.758393615344051
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	11	1	affective|affect	#F03623	0.731787523658947
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	12	1	emotions	#FC622F	0.634155831221246
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	13	1	expression|expressions|facial	#FD913D	0.53589444213874
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	14	1		#F03623	0.75378094095642
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	15	1		#F03623	0.762610208095645
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	16	1	emotion|motion|neutral	#FC622F	0.641893366238218
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	17	1	rating	#F03623	0.737182772761286
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	18	1	negative|positive	#F03623	0.762501058715024
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	19	1		#F03623	0.794468355114441
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	20	1	ear|order	#F03623	0.713545824357624
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	21	1	motor	#FDAD4A	0.438024282973237
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	22	1	visual	#FD913D	0.523000544849383
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	23	1	age|image|response	#FC622F	0.621619240314213
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	1	2	sound|sounds	#FFF1A9	0.109417156463368
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	2	2		#FEE188	0.209623788921283
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.114027194690633
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	4	2		#FDAD4A	0.471067516381227
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	5	2		#FDAD4A	0.469840136536643
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	6	2		#FDAD4A	0.485238955300429
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	7	2	sensation	#FEE188	0.287720757900459
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	8	2	heat|noxious	#FECB68	0.385864811943137
2bbc73c8-b292-333a-b7cf-6115a5e06a14	Platek SM	9	2		#FD913D	0.551642989844418
