UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	1	1	auditory|speech	#B10026	0.919633954704514
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	2	1		#D7141E	0.898686175629886
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	3	1	da|integration	#D7141E	0.807488219242216
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	4	1		#B10026	0.937725871204184
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	5	1	physical|psychophysical|tactile	#F03623	0.731056564169034
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	6	1		#B10026	0.935216674290469
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	7	1	somatosensory|stimulation	#D7141E	0.851783673513242
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	8	1	painful|pain	#D7141E	0.851419454996994
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	9	1		#B10026	0.957300820138331
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	10	1	ratings	#B10026	0.958937941454644
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	11	1	affective|affect	#F03623	0.710077171845415
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	12	1	emotions	#D7141E	0.850267694022536
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	13	1	expression|expressions|facial	#FDAD4A	0.464044881540773
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	14	1		#F03623	0.713368984338544
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	15	1		#D7141E	0.800769622095958
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	16	1	emotion|motion|neutral	#D7141E	0.857578175222778
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	17	1	rating	#B10026	0.919720253692631
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	18	1	negative|positive	#F03623	0.76206069355199
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	19	1		#F03623	0.735902002847496
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	20	1	ear|order	#FC622F	0.679339213650759
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	21	1	motor	#FD913D	0.532125933824682
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	22	1	visual	#FD913D	0.547306384777635
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	23	1	age|image|response	#F03623	0.703040349113857
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	1	2	sound|sounds	#D7141E	0.828490646798066
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	2	2		#D7141E	0.896330323629701
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.62863038087159
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	4	2		#B10026	0.940729518602045
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	5	2		#B10026	0.943632857540771
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	6	2		#B10026	0.965152931202847
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	7	2	sensation	#B10026	0.915723495866482
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	8	2	heat|noxious	#D7141E	0.805684386236173
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	9	2		#B10026	0.965529887058555
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	10	2		#B10026	0.970145047420472
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	11	2		#B10026	0.932965434592383
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	12	2	valence	#F03623	0.743471034366611
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	13	2	person|social	#F03623	0.775395435289359
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	14	2		#F03623	0.734013820319043
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	15	2	face|faces	#FD913D	0.561317824084798
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	16	2		#D7141E	0.862986477204334
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	17	2		#D7141E	0.876497098366812
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	18	2		#D7141E	0.813616492822924
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	19	2		#F03623	0.730977690199464
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	20	2		#FC622F	0.641705774597003
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	21	2	images|spatial	#FC622F	0.636823079043441
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	22	2	control	#FC622F	0.626979825581887
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	23	2	time	#FC622F	0.671360765302474
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	1	3	acoustic|listening|musical|music|pitch	#D7141E	0.810089180267563
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	2	3	noise|tones	#D7141E	0.857619700489023
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	3	3		#D7141E	0.852290808672047
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	4	3		#D7141E	0.846985475977512
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	5	3	frequency	#B10026	0.919051358955755
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	6	3		#B10026	0.975886492234214
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	7	3		#D7141E	0.894648432422699
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	8	3	temperature	#D7141E	0.808460867425685
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	9	3		#B10026	0.921097197276939
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	10	3	pleasant|unpleasant	#D7141E	0.827301256969081
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	11	3	anxiety	#D7141E	0.831431794573879
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	12	3		#D7141E	0.8984630550965
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	13	3		#D7141E	0.899979359523762
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	14	3		#D7141E	0.879048728870847
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	15	3		#D7141E	0.881874877184396
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	16	3	picture	#D7141E	0.822954688674164
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	17	3		#D7141E	0.887755485429055
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	18	3	value	#F03623	0.795416615355369
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	19	3	cue	#FD913D	0.599112781500982
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	20	3	error|target	#FD913D	0.567469607826548
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	21	3	attention	#FD913D	0.531458152825183
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	22	3		#FC622F	0.60456697535356
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	23	3	number	#FC622F	0.616611826130879
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	1	4	voice	#D7141E	0.876654397878107
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	2	4		#D7141E	0.816935331432935
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	3	4	hearing	#FD913D	0.536203002358905
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	4	4		#F03623	0.750433833832993
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	5	4	overt	#FC622F	0.608322673679583
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	6	4		#D7141E	0.8205269741557
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	7	4		#D7141E	0.886716013513857
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	8	4	nociceptive|nonpainful|painrelated	#FC622F	0.621388591543136
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	9	4	unpleasantness	#B10026	0.902706839845796
2dd4967a-22d8-3dc1-a979-18b458a761ef	Johnstone EC	10	4	skin|subjective	#F03623	0.800425491722326
