UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2f923f9f-b697-366b-a824-16581f630957	Williams MA	1	1	auditory|speech	#FFF1A9	0.122904604754013
2f923f9f-b697-366b-a824-16581f630957	Williams MA	2	1		#FFF1A9	0.112213538651163
2f923f9f-b697-366b-a824-16581f630957	Williams MA	3	1	da|integration	#FEE188	0.20833233715304
2f923f9f-b697-366b-a824-16581f630957	Williams MA	4	1		#FECB68	0.302225698507328
2f923f9f-b697-366b-a824-16581f630957	Williams MA	5	1	physical|psychophysical|tactile	#FDAD4A	0.428619238738118
2f923f9f-b697-366b-a824-16581f630957	Williams MA	6	1		#FDAD4A	0.435569073718434
2f923f9f-b697-366b-a824-16581f630957	Williams MA	7	1	somatosensory|stimulation	#FD913D	0.502585548220677
2f923f9f-b697-366b-a824-16581f630957	Williams MA	8	1	painful|pain	#FEE188	0.28147747548578
2f923f9f-b697-366b-a824-16581f630957	Williams MA	9	1		#FECB68	0.316029735608549
2f923f9f-b697-366b-a824-16581f630957	Williams MA	10	1	ratings	#FEE188	0.26436553080456
2f923f9f-b697-366b-a824-16581f630957	Williams MA	11	1	affective|affect	#FEE188	0.211445454076801
2f923f9f-b697-366b-a824-16581f630957	Williams MA	12	1	emotions	#FFF1A9	0.145603097330032
2f923f9f-b697-366b-a824-16581f630957	Williams MA	13	1	expression|expressions|facial	#FFFFCC	0.062386121071704
2f923f9f-b697-366b-a824-16581f630957	Williams MA	14	1		#FFF1A9	0.143890064348057
2f923f9f-b697-366b-a824-16581f630957	Williams MA	15	1		#FFF1A9	0.154421070040145
2f923f9f-b697-366b-a824-16581f630957	Williams MA	16	1	emotion|motion|neutral	#FFF1A9	0.146680700457688
2f923f9f-b697-366b-a824-16581f630957	Williams MA	17	1	rating	#FEE188	0.270727958062179
2f923f9f-b697-366b-a824-16581f630957	Williams MA	18	1	negative|positive	#FECB68	0.317772016101135
2f923f9f-b697-366b-a824-16581f630957	Williams MA	19	1		#FDAD4A	0.449840077084294
2f923f9f-b697-366b-a824-16581f630957	Williams MA	20	1	ear|order	#FDAD4A	0.475572865941639
2f923f9f-b697-366b-a824-16581f630957	Williams MA	21	1	motor	#FD913D	0.585529899179789
2f923f9f-b697-366b-a824-16581f630957	Williams MA	22	1	visual	#FECB68	0.366892299552406
2f923f9f-b697-366b-a824-16581f630957	Williams MA	23	1	age|image|response	#FDAD4A	0.433177711023212
2f923f9f-b697-366b-a824-16581f630957	Williams MA	1	2	sound|sounds	#FFFFCC	0.059544315473411
2f923f9f-b697-366b-a824-16581f630957	Williams MA	2	2		#FFF1A9	0.101828415909638
2f923f9f-b697-366b-a824-16581f630957	Williams MA	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0395772445070491
2f923f9f-b697-366b-a824-16581f630957	Williams MA	4	2		#FECB68	0.303530576211967
2f923f9f-b697-366b-a824-16581f630957	Williams MA	5	2		#FECB68	0.388695927383481
2f923f9f-b697-366b-a824-16581f630957	Williams MA	6	2		#FDAD4A	0.439615972111162
2f923f9f-b697-366b-a824-16581f630957	Williams MA	7	2	sensation	#FECB68	0.349921152858281
2f923f9f-b697-366b-a824-16581f630957	Williams MA	8	2	heat|noxious	#FEE188	0.257955229156431
2f923f9f-b697-366b-a824-16581f630957	Williams MA	9	2		#FECB68	0.303260602369866
2f923f9f-b697-366b-a824-16581f630957	Williams MA	10	2		#FEE188	0.235491984151515
2f923f9f-b697-366b-a824-16581f630957	Williams MA	11	2		#FEE188	0.225127648003004
2f923f9f-b697-366b-a824-16581f630957	Williams MA	12	2	valence	#FFF1A9	0.174683148156264
2f923f9f-b697-366b-a824-16581f630957	Williams MA	13	2	person|social	#FECB68	0.336889578112341
2f923f9f-b697-366b-a824-16581f630957	Williams MA	14	2		#FFF1A9	0.154467833565336
2f923f9f-b697-366b-a824-16581f630957	Williams MA	15	2	face|faces	#FFF1A9	0.109104764900961
2f923f9f-b697-366b-a824-16581f630957	Williams MA	16	2		#FEE188	0.22204533066888
2f923f9f-b697-366b-a824-16581f630957	Williams MA	17	2		#FECB68	0.306623910340158
2f923f9f-b697-366b-a824-16581f630957	Williams MA	18	2		#FDAD4A	0.414751473554711
2f923f9f-b697-366b-a824-16581f630957	Williams MA	19	2		#FDAD4A	0.496987002157214
2f923f9f-b697-366b-a824-16581f630957	Williams MA	20	2		#FD913D	0.534879064090726
2f923f9f-b697-366b-a824-16581f630957	Williams MA	21	2	images|spatial	#FDAD4A	0.486357056876494
2f923f9f-b697-366b-a824-16581f630957	Williams MA	22	2	control	#FD913D	0.516172620388321
2f923f9f-b697-366b-a824-16581f630957	Williams MA	23	2	time	#FDAD4A	0.482841826216753
2f923f9f-b697-366b-a824-16581f630957	Williams MA	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0357971112675295
2f923f9f-b697-366b-a824-16581f630957	Williams MA	2	3	noise|tones	#FFF1A9	0.131111296855917
2f923f9f-b697-366b-a824-16581f630957	Williams MA	3	3		#FFF1A9	0.166281392060723
2f923f9f-b697-366b-a824-16581f630957	Williams MA	4	3		#FEE188	0.248376897590265
2f923f9f-b697-366b-a824-16581f630957	Williams MA	5	3	frequency	#FECB68	0.367476444779283
2f923f9f-b697-366b-a824-16581f630957	Williams MA	6	3		#FECB68	0.384535486462062
2f923f9f-b697-366b-a824-16581f630957	Williams MA	7	3		#FECB68	0.34391555065167
2f923f9f-b697-366b-a824-16581f630957	Williams MA	8	3	temperature	#FEE188	0.2227320499497
2f923f9f-b697-366b-a824-16581f630957	Williams MA	9	3		#FECB68	0.317409610719162
2f923f9f-b697-366b-a824-16581f630957	Williams MA	10	3	pleasant|unpleasant	#FFF1A9	0.116951944290543
2f923f9f-b697-366b-a824-16581f630957	Williams MA	11	3	anxiety	#FFF1A9	0.141481267921242
2f923f9f-b697-366b-a824-16581f630957	Williams MA	12	3		#FEE188	0.239831369017301
2f923f9f-b697-366b-a824-16581f630957	Williams MA	13	3		#FEE188	0.258235265326708
2f923f9f-b697-366b-a824-16581f630957	Williams MA	14	3		#FEE188	0.214625565704234
2f923f9f-b697-366b-a824-16581f630957	Williams MA	15	3		#FEE188	0.233478978021682
2f923f9f-b697-366b-a824-16581f630957	Williams MA	16	3	picture	#FECB68	0.347481234134173
2f923f9f-b697-366b-a824-16581f630957	Williams MA	17	3		#FECB68	0.347569239942706
2f923f9f-b697-366b-a824-16581f630957	Williams MA	18	3	value	#FC622F	0.658212223472762
2f923f9f-b697-366b-a824-16581f630957	Williams MA	19	3	cue	#FD913D	0.576925095334105
2f923f9f-b697-366b-a824-16581f630957	Williams MA	20	3	error|target	#FD913D	0.571744931393374
2f923f9f-b697-366b-a824-16581f630957	Williams MA	21	3	attention	#FDAD4A	0.49235116935882
2f923f9f-b697-366b-a824-16581f630957	Williams MA	22	3		#FD913D	0.506216844379818
2f923f9f-b697-366b-a824-16581f630957	Williams MA	23	3	number	#FDAD4A	0.485222471017235
2f923f9f-b697-366b-a824-16581f630957	Williams MA	1	4	voice	#FFFFCC	0.0188604315295981
2f923f9f-b697-366b-a824-16581f630957	Williams MA	2	4		#FFFFCC	0.0832409924702935
2f923f9f-b697-366b-a824-16581f630957	Williams MA	3	4	hearing	#FFFFCC	0.0797559770361369
2f923f9f-b697-366b-a824-16581f630957	Williams MA	4	4		#FEE188	0.212560180295285
