UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	1	1	auditory|speech	#B10026	0.94666302202569
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	2	1		#B10026	0.939047083242576
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	3	1	da|integration	#B10026	0.918371309294865
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	4	1		#D7141E	0.883147570948063
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	5	1	physical|psychophysical|tactile	#FDAD4A	0.46775107407862
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	6	1		#FD913D	0.577492774337287
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	7	1	somatosensory|stimulation	#FD913D	0.532166455630371
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	8	1	painful|pain	#FECB68	0.321519498707396
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	9	1		#FECB68	0.396255567121044
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	10	1	ratings	#FDAD4A	0.41521653457683
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	11	1	affective|affect	#FDAD4A	0.437245324804681
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	12	1	emotions	#FDAD4A	0.437583184310334
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	13	1	expression|expressions|facial	#FECB68	0.348859725541584
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	14	1		#FDAD4A	0.447105783765477
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	15	1		#FDAD4A	0.466246828449735
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	16	1	emotion|motion|neutral	#FDAD4A	0.461031146240731
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	17	1	rating	#FDAD4A	0.441730366133864
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	18	1	negative|positive	#FDAD4A	0.492748183963411
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	19	1		#FC622F	0.61676146415951
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	20	1	ear|order	#FC622F	0.669796047491598
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	21	1	motor	#FD913D	0.575768812701526
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	22	1	visual	#FD913D	0.527266733459369
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	23	1	age|image|response	#FC622F	0.60548382340078
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	1	2	sound|sounds	#D7141E	0.843839896599386
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	2	2		#B10026	0.922679095098101
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	3	2	audiovisual|bimodal|crossmodal	#F03623	0.729452868451343
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	4	2		#B10026	0.908551736306125
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	5	2		#F03623	0.791724807524533
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	6	2		#FC622F	0.642396087226034
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	7	2	sensation	#FECB68	0.334700338600584
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	8	2	heat|noxious	#FECB68	0.30934988297844
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	9	2		#FDAD4A	0.410193639657513
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	10	2		#FDAD4A	0.465791900414244
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	11	2		#FDAD4A	0.464081276113951
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	12	2	valence	#FECB68	0.380171408995881
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	13	2	person|social	#FDAD4A	0.421080207748378
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	14	2		#FDAD4A	0.462793256144196
2fd16dd2-26ae-35fe-b3f1-3733b6bf4e88	McCarley RW	15	2	face|faces	#FECB68	0.380060089529062
