UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	1	1	auditory|speech	#FC622F	0.659824216093643
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	2	1		#FD913D	0.592368635981652
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	3	1	da|integration	#FDAD4A	0.413252354109065
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	4	1		#FD913D	0.552846722329344
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	5	1	physical|psychophysical|tactile	#FDAD4A	0.450533945574432
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	6	1		#FD913D	0.562855017503955
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	7	1	somatosensory|stimulation	#FC622F	0.621836674941699
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	8	1	painful|pain	#FDAD4A	0.452534044608749
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	9	1		#FDAD4A	0.462038652884642
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	10	1	ratings	#FECB68	0.314698989400794
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	11	1	affective|affect	#FFF1A9	0.192362027900167
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	12	1	emotions	#FEE188	0.204653817347951
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	13	1	expression|expressions|facial	#FFF1A9	0.136195615329219
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	14	1		#FFF1A9	0.160587781154146
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	15	1		#FFF1A9	0.175734492448674
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	16	1	emotion|motion|neutral	#FFF1A9	0.19273210221706
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	17	1	rating	#FEE188	0.270311432651275
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	18	1	negative|positive	#FEE188	0.226671436392224
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	19	1		#FEE188	0.299330950940448
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	20	1	ear|order	#FECB68	0.316874371750286
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	21	1	motor	#FDAD4A	0.485041876654035
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	22	1	visual	#FEE188	0.258934885085165
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	23	1	age|image|response	#FECB68	0.32055128416794
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	1	2	sound|sounds	#FD913D	0.564620256924211
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	2	2		#FD913D	0.588990581055628
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.376064588854279
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	4	2		#FD913D	0.551310417443834
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	5	2		#FD913D	0.583766872561032
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	6	2		#FD913D	0.576365816415471
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	7	2	sensation	#FDAD4A	0.484161120086137
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	8	2	heat|noxious	#FDAD4A	0.445205100874927
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	9	2		#FDAD4A	0.450141028612742
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	10	2		#FECB68	0.321814635095025
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	11	2		#FEE188	0.274002398306073
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	12	2	valence	#FFF1A9	0.144159757397925
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	13	2	person|social	#FFF1A9	0.143034194121553
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	14	2		#FFF1A9	0.168977933289226
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	15	2	face|faces	#FFF1A9	0.112750365725486
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	16	2		#FEE188	0.211894199741255
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	17	2		#FEE188	0.240246950857066
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	18	2		#FEE188	0.268837426051279
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	19	2		#FEE188	0.297284834224232
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	20	2		#FECB68	0.324311347017348
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	21	2	images|spatial	#FEE188	0.289043834360735
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	22	2	control	#FEE188	0.294284802898518
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	23	2	time	#FECB68	0.309586332203305
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.573554785239371
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	2	3	noise|tones	#FD913D	0.52664317205288
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	3	3		#FC622F	0.648575209309953
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	4	3		#FC622F	0.665929727971848
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	5	3	frequency	#FD913D	0.593285837098447
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	6	3		#F03623	0.704335222077461
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	7	3		#FD913D	0.55508876152174
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	8	3	temperature	#FECB68	0.389590525207546
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	9	3		#FDAD4A	0.460569515678231
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	10	3	pleasant|unpleasant	#FECB68	0.312767562093003
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	11	3	anxiety	#FEE188	0.234990567749113
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	12	3		#FEE188	0.265413770825894
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	13	3		#FEE188	0.265756015085711
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	14	3		#FEE188	0.220778988870969
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	15	3		#FEE188	0.217301491265835
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	16	3	picture	#FFF1A9	0.173570914550742
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	17	3		#FEE188	0.265306065759161
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	18	3	value	#FECB68	0.337877143542473
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	19	3	cue	#FEE188	0.241338592301636
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	20	3	error|target	#FEE188	0.264420654586242
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	21	3	attention	#FEE188	0.235444760271026
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	22	3		#FEE188	0.252337578260496
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	23	3	number	#FEE188	0.25388987014859
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	1	4	voice	#FDAD4A	0.4646224081091
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	2	4		#FD913D	0.561977849822576
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	3	4	hearing	#FDAD4A	0.455415575262989
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	4	4		#F03623	0.786335203083908
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	5	4	overt	#FC622F	0.684609332956518
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	6	4		#D7141E	0.850988925044012
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	7	4		#FC622F	0.632002847587601
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.441910275229619
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	9	4	unpleasantness	#FDAD4A	0.415643922828958
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	10	4	skin|subjective	#FECB68	0.352347748496871
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	11	4	depression	#FEE188	0.285566687991394
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	12	4	experience	#FECB68	0.300750790262882
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	13	4	female	#FEE188	0.288207374133575
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	14	4	male	#FECB68	0.306863081594491
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	15	4	pictures	#FFF1A9	0.175280935068015
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	16	4		#FEE188	0.263380089210104
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	17	4	perception	#FECB68	0.348627773238175
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	18	4		#FEE188	0.26755761165375
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	19	4		#FEE188	0.246640338874846
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	20	4		#FEE188	0.233393042976896
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	21	4	correct	#FFF1A9	0.186543636142589
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	22	4	work	#FEE188	0.21388956163196
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	23	4	memory	#FFF1A9	0.172875275909376
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	1	5	prosodic|prosody	#FECB68	0.368537873824552
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	2	5	phonetic	#FD913D	0.519388561969809
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	3	5	syllable|syllables	#FD913D	0.587650491117418
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	4	5		#D7141E	0.825498073315007
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	5	5	lip|production	#B10026	1
32742ee7-5f0b-370d-b400-c171929256dc	Tourville JA	6	5	somatotopic	#B10026	0.903620318803941
