UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	1	1	auditory|speech	#FFF1A9	0.156995067717412
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	2	1		#FFF1A9	0.156902487528356
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	3	1	da|integration	#FDAD4A	0.437699770865827
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	4	1		#FEE188	0.261640188191717
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	5	1	physical|psychophysical|tactile	#FFF1A9	0.151847864741266
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	6	1		#FEE188	0.252425183588275
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	7	1	somatosensory|stimulation	#FEE188	0.22303828248684
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	8	1	painful|pain	#FEE188	0.298685450646281
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	9	1		#FDAD4A	0.417176393582025
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	10	1	ratings	#F03623	0.769281438594902
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	11	1	affective|affect	#D7141E	0.859396573233004
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	12	1	emotions	#D7141E	0.86961977234878
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	13	1	expression|expressions|facial	#D7141E	0.840220747868499
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	14	1		#B10026	0.922387363243813
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	15	1		#B10026	0.913180622840273
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	16	1	emotion|motion|neutral	#D7141E	0.847609390674854
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	17	1	rating	#F03623	0.794280691616537
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	18	1	negative|positive	#F03623	0.746480695766597
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	19	1		#FC622F	0.672988953603173
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	20	1	ear|order	#FD913D	0.581547465049231
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	21	1	motor	#FECB68	0.302836454141286
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	22	1	visual	#FDAD4A	0.427304476495921
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	23	1	age|image|response	#FD913D	0.531879471576659
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	1	2	sound|sounds	#FFFFCC	0.0786403323960885
32cde5b2-092a-3ef3-8925-52584cffdba8	Fernandez G	2	2		#FFF1A9	0.140989212776276
