UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	1	1	auditory|speech	#FEE188	0.237136924293117
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	2	1		#FEE188	0.226296621355619
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	3	1	da|integration	#FECB68	0.351653219276977
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	4	1		#FC622F	0.667174506188828
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	5	1	physical|psychophysical|tactile	#B10026	0.97092042391392
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	6	1		#B10026	0.918033393462964
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	7	1	somatosensory|stimulation	#F03623	0.705794453064124
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	8	1	painful|pain	#D7141E	0.836994365316665
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	9	1		#F03623	0.787289834752413
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	10	1	ratings	#FC622F	0.633365024300103
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	11	1	affective|affect	#FDAD4A	0.412731600553911
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	12	1	emotions	#FEE188	0.249012258513175
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	13	1	expression|expressions|facial	#FFF1A9	0.133123424080626
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	14	1		#FEE188	0.242278752300235
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	15	1		#FECB68	0.311803730852358
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	16	1	emotion|motion|neutral	#FECB68	0.356563441191843
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	17	1	rating	#FD913D	0.52934887007897
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	18	1	negative|positive	#FD913D	0.579812190888347
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	19	1		#FC622F	0.646312095582196
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	20	1	ear|order	#FC622F	0.642603587415766
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	21	1	motor	#FC622F	0.657345608133741
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	22	1	visual	#FD913D	0.517988560130597
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	23	1	age|image|response	#FD913D	0.587301502319609
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	1	2	sound|sounds	#FFF1A9	0.175862631149873
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	2	2		#FEE188	0.215030019028243
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.234127701467246
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	4	2		#FC622F	0.620097828268599
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	5	2		#F03623	0.781720040392575
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	6	2		#D7141E	0.874727764890984
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	7	2	sensation	#FC622F	0.617906867430916
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	8	2	heat|noxious	#D7141E	0.840585402728735
33aead7a-b8d3-358b-b56e-c511d30e2b11	Hagendorf H	9	2		#D7141E	0.820855566295882
