UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	1	1	auditory|speech	#FC622F	0.609675397169865
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	2	1		#FC622F	0.631639970747182
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	3	1	da|integration	#F03623	0.764123463050944
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	4	1		#F03623	0.727779726551628
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	5	1	physical|psychophysical|tactile	#FECB68	0.38450036571448
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	6	1		#FECB68	0.341258588572549
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	7	1	somatosensory|stimulation	#FEE188	0.232653511438294
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	8	1	painful|pain	#FFFFCC	0.0868984701410405
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	9	1		#FFF1A9	0.166294206284052
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	10	1	ratings	#FECB68	0.394512475887077
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	11	1	affective|affect	#FEE188	0.251384800896387
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	12	1	emotions	#FDAD4A	0.449801082537966
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	13	1	expression|expressions|facial	#FD913D	0.50610396707089
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	14	1		#FC622F	0.63532656546161
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	15	1		#FC622F	0.608539232961678
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	16	1	emotion|motion|neutral	#FD913D	0.525660983264769
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	17	1	rating	#FDAD4A	0.485660108874592
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	18	1	negative|positive	#FDAD4A	0.442359306544417
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	19	1		#FD913D	0.518764888910098
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	20	1	ear|order	#FDAD4A	0.482798974075779
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	21	1	motor	#FEE188	0.291449740240111
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	22	1	visual	#FC622F	0.657330736133062
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	23	1	age|image|response	#FD913D	0.560855183081372
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	1	2	sound|sounds	#FD913D	0.527281400495184
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	2	2		#FC622F	0.6013618100454
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.882012786197815
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	4	2		#F03623	0.737603399658696
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	5	2		#FC622F	0.609712783228199
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	6	2		#FECB68	0.391208223982324
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	7	2	sensation	#FFFFCC	0.0779149339814313
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	8	2	heat|noxious	#FFFFCC	0.0525603215980302
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	9	2		#FFF1A9	0.178723924410722
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	10	2		#FECB68	0.307936429052959
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	11	2		#FECB68	0.379296918179265
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	12	2	valence	#FECB68	0.388240524884932
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	13	2	person|social	#F03623	0.790845385355434
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	14	2		#FC622F	0.646645538345382
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	15	2	face|faces	#FC622F	0.686484044826002
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	16	2		#FC622F	0.641749084818381
35e0a3e8-b460-3891-bf8e-cca83bafd9e2	Cutting LE	17	2		#FD913D	0.58881511443922
