UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	1	1	auditory|speech	#FECB68	0.335595693570361
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	2	1		#FECB68	0.302952223612536
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	3	1	da|integration	#FD913D	0.501122640750378
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	4	1		#FD913D	0.525883225713505
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	5	1	physical|psychophysical|tactile	#FDAD4A	0.438188517634376
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	6	1		#FD913D	0.551820302986793
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	7	1	somatosensory|stimulation	#FDAD4A	0.417322891978729
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	8	1	painful|pain	#FDAD4A	0.474670490099658
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	9	1		#FD913D	0.564414300602331
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	10	1	ratings	#FD913D	0.548959744230738
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	11	1	affective|affect	#FDAD4A	0.495568524978808
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	12	1	emotions	#FDAD4A	0.485238590175467
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	13	1	expression|expressions|facial	#FEE188	0.246296708177621
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	14	1		#FDAD4A	0.466604952236113
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	15	1		#FD913D	0.523759833977686
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	16	1	emotion|motion|neutral	#FD913D	0.516882405407122
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	17	1	rating	#FDAD4A	0.492889099042677
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	18	1	negative|positive	#FDAD4A	0.428438249484682
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	19	1		#FD913D	0.518407103225514
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	20	1	ear|order	#FDAD4A	0.487748137852759
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	21	1	motor	#FDAD4A	0.442593604839071
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	22	1	visual	#FDAD4A	0.472026696002772
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	23	1	age|image|response	#FD913D	0.505874610097697
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	1	2	sound|sounds	#FFF1A9	0.193458705955259
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	2	2		#FEE188	0.268551668625784
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.379897989136035
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	4	2		#FD913D	0.535584559574118
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	5	2		#FD913D	0.565246362606698
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	6	2		#FD913D	0.566975644886334
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	7	2	sensation	#FD913D	0.527401482390202
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	8	2	heat|noxious	#FD913D	0.589336208398521
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	9	2		#FD913D	0.590153402135125
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	10	2		#FC622F	0.606281937796
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	11	2		#FD913D	0.580503972372828
3630156c-8f2f-3a32-ac5b-d1fc8ff0ab2c	Copland D	12	2	valence	#FD913D	0.542011149055535
