UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	1	1	auditory|speech	#FFF1A9	0.153982769915497
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	2	1		#FFF1A9	0.161931948592487
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	3	1	da|integration	#FEE188	0.256930653765212
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	4	1		#FFF1A9	0.181925090378489
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	5	1	physical|psychophysical|tactile	#FFF1A9	0.100184531366524
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	6	1		#FEE188	0.240573560786724
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	7	1	somatosensory|stimulation	#FEE188	0.272537535403577
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	8	1	painful|pain	#FEE188	0.280605299729494
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	9	1		#FECB68	0.39954251307909
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	10	1	ratings	#FC622F	0.653799677250332
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	11	1	affective|affect	#FD913D	0.550502207551971
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	12	1	emotions	#FD913D	0.539237421253829
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	13	1	expression|expressions|facial	#FDAD4A	0.442230892065163
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	14	1		#FD913D	0.543954212777258
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	15	1		#FD913D	0.572233770039742
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	16	1	emotion|motion|neutral	#FD913D	0.570871242404005
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	17	1	rating	#FC622F	0.618427407360075
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	18	1	negative|positive	#FC622F	0.610560651635414
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	19	1		#FDAD4A	0.490050890809921
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	20	1	ear|order	#FECB68	0.389752961592317
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	21	1	motor	#FFF1A9	0.16436602299006
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	22	1	visual	#FFF1A9	0.130895935438032
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	23	1	age|image|response	#FECB68	0.30010142611795
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	1	2	sound|sounds	#FFF1A9	0.141406935054766
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	2	2		#FFF1A9	0.156819247575465
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0806408354326692
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	4	2		#FFF1A9	0.19690272547211
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	5	2		#FEE188	0.219071419872785
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	6	2		#FEE188	0.255549613298625
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	7	2	sensation	#FECB68	0.321538050576859
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	8	2	heat|noxious	#FEE188	0.239995315444785
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	9	2		#FDAD4A	0.405824065328535
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	10	2		#FC622F	0.611734444620795
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	11	2		#FC622F	0.637268685929075
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	12	2	valence	#FC622F	0.671252654901675
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	13	2	person|social	#FDAD4A	0.499209106681371
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	14	2		#FD913D	0.548081631875514
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	15	2	face|faces	#FDAD4A	0.414218303669779
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	16	2		#FD913D	0.577212332114602
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	17	2		#FC622F	0.60447865231738
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	18	2		#FD913D	0.547961835461305
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	19	2		#FDAD4A	0.465084780274042
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	20	2		#FECB68	0.327112779242574
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	21	2	images|spatial	#FECB68	0.310077324709421
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	22	2	control	#FEE188	0.241145450716919
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	23	2	time	#FEE188	0.287236745496857
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.133137859312845
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	2	3	noise|tones	#FFF1A9	0.173845990711402
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	3	3		#FEE188	0.20739167807077
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	4	3		#FEE188	0.247474973761028
36f0d556-f262-314a-ad01-e20af6fe8478	Atienza M	5	3	frequency	#FEE188	0.289394566973802
