UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	1	1	auditory|speech	#FFF1A9	0.183166578888543
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	2	1		#FEE188	0.203439387673948
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	3	1	da|integration	#FEE188	0.223826079305693
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	4	1		#FECB68	0.367083290844265
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	5	1	physical|psychophysical|tactile	#FDAD4A	0.480584157547654
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	6	1		#FC622F	0.620524674418108
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	7	1	somatosensory|stimulation	#FD913D	0.553842076136399
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	8	1	painful|pain	#F03623	0.764407781423614
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	9	1		#D7141E	0.827974332125488
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	10	1	ratings	#B10026	0.94913822843353
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	11	1	affective|affect	#D7141E	0.869181638768109
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	12	1	emotions	#F03623	0.767060866849901
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	13	1	expression|expressions|facial	#FC622F	0.656768048917692
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	14	1		#F03623	0.71913719888819
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	15	1		#F03623	0.744873184597317
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	16	1	emotion|motion|neutral	#F03623	0.76233083739224
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	17	1	rating	#D7141E	0.820762926819698
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	18	1	negative|positive	#FC622F	0.672625027234902
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	19	1		#FDAD4A	0.488354927440145
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	20	1	ear|order	#FECB68	0.357883518952615
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	21	1	motor	#FFF1A9	0.147696864562635
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	22	1	visual	#FFF1A9	0.137558764542995
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	23	1	age|image|response	#FECB68	0.310713968606354
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	1	2	sound|sounds	#FEE188	0.225137589619128
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	2	2		#FEE188	0.205772220117161
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.127896255735746
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	4	2		#FECB68	0.341995563148533
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	5	2		#FDAD4A	0.437487588217486
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	6	2		#FD913D	0.587857438836002
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	7	2	sensation	#FC622F	0.654837965778125
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	8	2	heat|noxious	#F03623	0.717762203540959
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	9	2		#D7141E	0.854990991837818
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	10	2		#B10026	0.987767533634573
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	11	2		#B10026	0.953370909232879
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	12	2	valence	#B10026	0.929860576429824
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	13	2	person|social	#FD913D	0.544172180803632
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	14	2		#F03623	0.715308658133929
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	15	2	face|faces	#FD913D	0.504824315112184
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	16	2		#F03623	0.717602381609013
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	17	2		#F03623	0.709061760493715
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	18	2		#FD913D	0.587343779494326
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	19	2		#FDAD4A	0.447939722242844
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	20	2		#FEE188	0.296836402880478
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	21	2	images|spatial	#FEE188	0.259487743499929
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	22	2	control	#FEE188	0.282780943038321
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	23	2	time	#FEE188	0.282162503722746
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.208469218538999
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	2	3	noise|tones	#FFF1A9	0.194350499559349
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	3	3		#FEE188	0.209181491805429
381d39f8-bff9-3d34-a8a1-b30939745007	Naliboff BD	4	3		#FEE188	0.212840308218909
