UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	1	1	auditory|speech	#FEE188	0.238324572648249
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	2	1		#FFF1A9	0.149829425545762
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	3	1	da|integration	#FFF1A9	0.128931545281063
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	4	1		#FFF1A9	0.168370917678645
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	5	1	physical|psychophysical|tactile	#FFF1A9	0.111107607910104
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	6	1		#FFF1A9	0.114400718579676
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	7	1	somatosensory|stimulation	#FFF1A9	0.131500319422831
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	8	1	painful|pain	#FFFFCC	0.0123055691134342
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	9	1		#FFFFCC	0.0266093572518486
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	10	1	ratings	#FFFFCC	0.0328380774333096
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	11	1	affective|affect	#FFF1A9	0.109383207761091
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	12	1	emotions	#FFF1A9	0.108047930739677
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	13	1	expression|expressions|facial	#FFFFCC	0.0888155228576672
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	14	1		#FFF1A9	0.134093291484206
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	15	1		#FFF1A9	0.129438700267922
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	16	1	emotion|motion|neutral	#FFF1A9	0.1513279786682
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	17	1	rating	#FFFFCC	0.00256339671786904
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	18	1	negative|positive	#FFF1A9	0.132871309357826
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	19	1		#FFF1A9	0.109383213006045
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	20	1	ear|order	#FFFFCC	0.0603460477744784
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	21	1	motor	#FFF1A9	0.115356996192597
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	22	1	visual	#FFFFCC	0.00139826594749645
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	23	1	age|image|response	#FFFFCC	0.0208631652353069
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	1	2	sound|sounds	#FFFFCC	0.0836566201749928
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	2	2		#FFF1A9	0.141321154600073
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0428269137824897
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	4	2		#FFF1A9	0.187949925013978
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	5	2		#FEE188	0.204846041650046
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	6	2		#FFF1A9	0.141451916579194
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	7	2	sensation	#FFFFCC	0.0141451627302605
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	8	2	heat|noxious	#FFFFCC	0.00525112052972056
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	9	2		#FFFFCC	0.0277126034416113
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	10	2		#FFFFCC	0.0666057470212817
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	11	2		#FFFFCC	0.095269901890427
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	12	2	valence	#FFF1A9	0.121546774630672
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	13	2	person|social	#FECB68	0.352768606301608
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	14	2		#FFF1A9	0.135040473597265
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	15	2	face|faces	#FFFFCC	0.0624615676502302
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	16	2		#FFF1A9	0.119561859062457
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	17	2		#FFF1A9	0.134428427811471
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	18	2		#FFF1A9	0.118290113866435
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	19	2		#FFF1A9	0.111447623100611
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	20	2		#FFFFCC	0.0789011054619947
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	21	2	images|spatial	#FFFFCC	0.0320464212989109
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	22	2	control	#FFFFCC	0.0394745029748928
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	23	2	time	#FFFFCC	0.0208321870443331
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.188152354705092
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	2	3	noise|tones	#FFFFCC	0.0648685699214074
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	3	3		#FECB68	0.311867692354947
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	4	3		#FECB68	0.394763569309631
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	5	3	frequency	#FECB68	0.33243831171497
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	6	3		#FECB68	0.373659925555481
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	7	3		#FFF1A9	0.118633365746541
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	8	3	temperature	#FFFFCC	0.0187693560468152
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	9	3		#FFFFCC	0.0425182312040309
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	10	3	pleasant|unpleasant	#FFFFCC	0.0736504860537309
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	11	3	anxiety	#FFFFCC	0.0724481824945829
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	12	3		#FFF1A9	0.151810443525065
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	13	3		#FFF1A9	0.155088078690439
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	14	3		#FFF1A9	0.138156664588697
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	15	3		#FFF1A9	0.125327419268552
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	16	3	picture	#FFF1A9	0.109213162057214
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	17	3		#FFF1A9	0.139125799256935
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	18	3	value	#FFF1A9	0.173854366958795
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	19	3	cue	#FFF1A9	0.105462819826369
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	20	3	error|target	#FFFFCC	0.0306252039239754
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	21	3	attention	#FFFFCC	0.0314720380518086
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	22	3		#FFFFCC	0.0470457199702267
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	23	3	number	#FFFFCC	0.0170024756409845
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	1	4	voice	#FFFFCC	0.0694661193260731
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	2	4		#FEE188	0.204980099810713
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	3	4	hearing	#FEE188	0.26414875765978
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	4	4		#FD913D	0.569787845359866
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	5	4	overt	#FD913D	0.564741112182017
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	6	4		#FC622F	0.627664200854783
393755df-05c0-3adf-ae8b-bcbd13f39878	Zaidi H	7	4		#FEE188	0.257157727132174
