UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	1	1	auditory|speech	#FEE188	0.285925917737735
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	2	1		#FEE188	0.258105130265644
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	3	1	da|integration	#FD913D	0.500216449677728
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	4	1		#FDAD4A	0.40438320810903
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	5	1	physical|psychophysical|tactile	#FECB68	0.314519987949026
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	6	1		#FDAD4A	0.449880309963669
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	7	1	somatosensory|stimulation	#FDAD4A	0.424151357423696
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	8	1	painful|pain	#FDAD4A	0.488755097873333
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	9	1		#FC622F	0.605442692582186
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	10	1	ratings	#F03623	0.749019151933891
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	11	1	affective|affect	#D7141E	0.80950321844939
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	12	1	emotions	#FC622F	0.699457993353991
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	13	1	expression|expressions|facial	#F03623	0.720442565434227
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	14	1		#D7141E	0.807664669658547
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	15	1		#D7141E	0.801581923717999
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	16	1	emotion|motion|neutral	#F03623	0.769711263142971
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	17	1	rating	#F03623	0.737362941705079
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	18	1	negative|positive	#F03623	0.753668430459302
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	19	1		#FC622F	0.677203038240583
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	20	1	ear|order	#FD913D	0.590652680891355
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	21	1	motor	#FECB68	0.382420868378151
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	22	1	visual	#FDAD4A	0.409096642129018
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	23	1	age|image|response	#FD913D	0.513350244537121
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	1	2	sound|sounds	#FFF1A9	0.158305146574385
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	2	2		#FEE188	0.240571873219524
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.223826794851209
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	4	2		#FDAD4A	0.409555153844259
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	5	2		#FDAD4A	0.41274059655664
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	6	2		#FDAD4A	0.456721618750232
394cf0ad-dc05-30b4-a5e1-148937a68d5a	Hadjikhani N	7	2	sensation	#FD913D	0.533127932527775
