UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	1	1	auditory|speech	#FDAD4A	0.491142455732599
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	2	1		#FD913D	0.505729849527591
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	3	1	da|integration	#FD913D	0.597999200773601
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	4	1		#FD913D	0.589296078391813
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	5	1	physical|psychophysical|tactile	#FECB68	0.336367743473387
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	6	1		#FECB68	0.334643628886844
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	7	1	somatosensory|stimulation	#FFF1A9	0.176948485120555
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	8	1	painful|pain	#FEE188	0.218421538340958
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	9	1		#FEE188	0.272942553620996
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	10	1	ratings	#FECB68	0.324369206914876
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	11	1	affective|affect	#FECB68	0.351637050133581
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	12	1	emotions	#FDAD4A	0.434312833499622
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	13	1	expression|expressions|facial	#FDAD4A	0.453948311510426
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	14	1		#FD913D	0.585984002105488
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	15	1		#FD913D	0.564178291616425
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	16	1	emotion|motion|neutral	#FDAD4A	0.46243578937208
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	17	1	rating	#FECB68	0.343837091604346
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	18	1	negative|positive	#FECB68	0.310885243752782
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	19	1		#FECB68	0.374891889672718
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	20	1	ear|order	#FECB68	0.375608406948426
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	21	1	motor	#FFF1A9	0.129238898520657
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	22	1	visual	#FECB68	0.384615378531106
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	23	1	age|image|response	#FECB68	0.351801671710857
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	1	2	sound|sounds	#FDAD4A	0.425782992022977
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	2	2		#FDAD4A	0.486292707394221
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.574232735801354
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	4	2		#FD913D	0.593868186117893
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	5	2		#FDAD4A	0.490313074497604
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	6	2		#FECB68	0.365027046823928
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	7	2	sensation	#FFF1A9	0.173427359035571
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	8	2	heat|noxious	#FEE188	0.217268095623959
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	9	2		#FEE188	0.289340661585534
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	10	2		#FECB68	0.377472932006168
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	11	2		#FDAD4A	0.413859964403871
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	12	2	valence	#FECB68	0.380399395650085
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	13	2	person|social	#FC622F	0.638149051436762
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	14	2		#FD913D	0.593074995219575
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	15	2	face|faces	#FC622F	0.657978504690018
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	16	2		#FD913D	0.546931957261046
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	17	2		#FDAD4A	0.476959932996502
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	18	2		#FDAD4A	0.445613704333923
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	19	2		#FDAD4A	0.410236867728932
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	20	2		#FECB68	0.359298649676929
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	21	2	images|spatial	#FECB68	0.377632157709516
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	22	2	control	#FECB68	0.323059402197562
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	23	2	time	#FECB68	0.342941505075912
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.363122616252169
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	2	3	noise|tones	#FECB68	0.360421017515312
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	3	3		#FD913D	0.554062334836202
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	4	3		#FD913D	0.54380922796133
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	5	3	frequency	#FDAD4A	0.470625550657282
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	6	3		#FDAD4A	0.434872346311169
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	7	3		#FEE188	0.267865350231971
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	8	3	temperature	#FFF1A9	0.190760723696625
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	9	3		#FECB68	0.303078462428161
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	10	3	pleasant|unpleasant	#FECB68	0.331976791102967
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	11	3	anxiety	#FEE188	0.282639018289261
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	12	3		#FDAD4A	0.484749826295887
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	13	3		#FD913D	0.56670264823629
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	14	3		#FD913D	0.568024754030991
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	15	3		#FD913D	0.59826309661169
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	16	3	picture	#FD913D	0.577132910342084
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	17	3		#FD913D	0.581863253689942
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	18	3	value	#FDAD4A	0.450679988938617
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	19	3	cue	#FECB68	0.382586447034203
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	20	3	error|target	#FECB68	0.388478980134367
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	21	3	attention	#FECB68	0.354785091293905
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	22	3		#FDAD4A	0.413620210491612
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	23	3	number	#FDAD4A	0.405276576514932
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	1	4	voice	#FDAD4A	0.469758287583091
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	2	4		#FDAD4A	0.492880079694836
3989c9dc-1a87-37c5-8384-4ef77596e755	Della Sala S	3	4	hearing	#FD913D	0.550034800584364
