UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	1	1	auditory|speech	#FDAD4A	0.401724158641193
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	2	1		#FECB68	0.386069329826556
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	3	1	da|integration	#FC622F	0.6302780242831
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	4	1		#FDAD4A	0.455128940093032
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	5	1	physical|psychophysical|tactile	#FEE188	0.26698310383472
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	6	1		#FEE188	0.272788065980402
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	7	1	somatosensory|stimulation	#FEE188	0.256511136620289
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	8	1	painful|pain	#FFF1A9	0.138558748569967
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	9	1		#FEE188	0.238681233142145
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	10	1	ratings	#FD913D	0.544741641602838
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	11	1	affective|affect	#FC622F	0.657178767422329
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	12	1	emotions	#FC622F	0.661225561153005
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	13	1	expression|expressions|facial	#F03623	0.78455519873808
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	14	1		#D7141E	0.889566853980057
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	15	1		#D7141E	0.891550412985899
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	16	1	emotion|motion|neutral	#F03623	0.769105933090554
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	17	1	rating	#FC622F	0.619931749007416
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	18	1	negative|positive	#FD913D	0.598140464861411
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	19	1		#FC622F	0.679797081415577
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	20	1	ear|order	#FC622F	0.651333550748043
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	21	1	motor	#FDAD4A	0.462258738424986
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	22	1	visual	#F03623	0.700868369422511
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	23	1	age|image|response	#FC622F	0.655829719829624
3acfb29b-9b7b-3310-94a0-871bd5307147	Shi G	1	2	sound|sounds	#FEE188	0.288878635087979
