UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	1	1	auditory|speech	#D7141E	0.877463205542155
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	2	1		#B10026	0.92187571606409
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	3	1	da|integration	#FC622F	0.684324519141246
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	4	1		#FC622F	0.698237547593561
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	5	1	physical|psychophysical|tactile	#FECB68	0.334266240198388
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	6	1		#FECB68	0.363886755576576
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	7	1	somatosensory|stimulation	#FEE188	0.294004275857645
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	8	1	painful|pain	#FFF1A9	0.159220557731075
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	9	1		#FEE188	0.204501067976879
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	10	1	ratings	#FFF1A9	0.178301112766428
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	11	1	affective|affect	#FFF1A9	0.137494299867277
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	12	1	emotions	#FFF1A9	0.195710638283425
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	13	1	expression|expressions|facial	#FFF1A9	0.169684421788796
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	14	1		#FEE188	0.230532203741827
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	15	1		#FEE188	0.238596286315348
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	16	1	emotion|motion|neutral	#FEE188	0.256758064228947
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	17	1	rating	#FEE188	0.218123275164059
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	18	1	negative|positive	#FEE188	0.290231868804019
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	19	1		#FECB68	0.366539071359358
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	20	1	ear|order	#FDAD4A	0.425857711450342
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	21	1	motor	#FECB68	0.311787933142968
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	22	1	visual	#FECB68	0.340961098602024
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	23	1	age|image|response	#FDAD4A	0.416132580342562
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	1	2	sound|sounds	#B10026	0.932093690960917
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	2	2		#B10026	0.932115538177816
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	3	2	audiovisual|bimodal|crossmodal	#FC622F	0.683037772003619
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	4	2		#F03623	0.716980285669328
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	5	2		#FD913D	0.570814312718866
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	6	2		#FDAD4A	0.421671490461195
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	7	2	sensation	#FEE188	0.24676853662917
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	8	2	heat|noxious	#FFF1A9	0.156134551058328
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	9	2		#FEE188	0.210060113412064
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	10	2		#FFF1A9	0.187746575850378
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	11	2		#FFF1A9	0.196084148614318
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	12	2	valence	#FFF1A9	0.186328107904596
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	13	2	person|social	#FECB68	0.352339289963873
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	14	2		#FEE188	0.239678620744948
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	15	2	face|faces	#FFF1A9	0.173883791341732
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	16	2		#FEE188	0.276037564301404
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	17	2		#FECB68	0.301416146694602
3b144a0e-d79b-32f1-9fca-23bcbe4307f1	Suzuki H	18	2		#FECB68	0.343205262658699
