UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	1	1	auditory|speech	#FD913D	0.579929000774614
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	2	1		#FD913D	0.575918669463339
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	3	1	da|integration	#F03623	0.756897167350638
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	4	1		#FC622F	0.603106140864566
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	5	1	physical|psychophysical|tactile	#FEE188	0.263698944917695
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	6	1		#FECB68	0.340151486192682
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	7	1	somatosensory|stimulation	#FEE188	0.265634019792473
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	8	1	painful|pain	#FEE188	0.229253284345596
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	9	1		#FEE188	0.295272290764008
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	10	1	ratings	#FECB68	0.379713819954729
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	11	1	affective|affect	#FDAD4A	0.425318631936103
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	12	1	emotions	#FDAD4A	0.469186199211208
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	13	1	expression|expressions|facial	#FDAD4A	0.446234062349806
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	14	1		#FC622F	0.614062734722166
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	15	1		#FC622F	0.630680258500088
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	16	1	emotion|motion|neutral	#FD913D	0.554811157071249
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	17	1	rating	#FDAD4A	0.474958478193401
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	18	1	negative|positive	#FD913D	0.534250153713371
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	19	1		#FC622F	0.641517408394448
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	20	1	ear|order	#FC622F	0.663925349261771
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	21	1	motor	#FDAD4A	0.448784704464104
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	22	1	visual	#F03623	0.71862034333183
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	23	1	age|image|response	#FC622F	0.682437476780615
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	1	2	sound|sounds	#FDAD4A	0.442157608280614
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	2	2		#FD913D	0.543651919846573
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	3	2	audiovisual|bimodal|crossmodal	#FD913D	0.55372835925262
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	4	2		#FC622F	0.629621813455396
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	5	2		#FD913D	0.506411350810685
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	6	2		#FECB68	0.393277395769187
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	7	2	sensation	#FEE188	0.240301669469878
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	8	2	heat|noxious	#FFF1A9	0.179862808025597
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	9	2		#FECB68	0.305762497120745
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	10	2		#FDAD4A	0.421379096325737
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	11	2		#FDAD4A	0.455243866637742
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	12	2	valence	#FDAD4A	0.441699349855087
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	13	2	person|social	#FD913D	0.55429109723167
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	14	2		#FC622F	0.634025805740793
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	15	2	face|faces	#F03623	0.701616299345101
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	16	2		#FC622F	0.667625171792189
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	17	2		#FC622F	0.644096042229304
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	18	2		#FC622F	0.661254498018534
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	19	2		#FC622F	0.672842916814899
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	20	2		#FC622F	0.652691002909849
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	21	2	images|spatial	#FC622F	0.664742642278488
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	22	2	control	#FC622F	0.64739774727614
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	23	2	time	#FC622F	0.672848381509768
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	1	3	acoustic|listening|musical|music|pitch	#FECB68	0.339427112025309
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	2	3	noise|tones	#FDAD4A	0.461273650365609
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	3	3		#FC622F	0.605032416850939
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	4	3		#FC622F	0.649567258814652
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	5	3	frequency	#FC622F	0.632317653440641
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	6	3		#FD913D	0.535115641205211
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	7	3		#FEE188	0.275104040537116
3c094594-6560-3d22-9d80-9310d8418269	Gitelman DR	8	3	temperature	#FFF1A9	0.185816691583902
