UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	1	1	auditory|speech	#FFF1A9	0.135207652598763
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	2	1		#FFF1A9	0.119377173019928
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	3	1	da|integration	#FEE188	0.231484171358564
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	4	1		#FFF1A9	0.160752967640618
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	5	1	physical|psychophysical|tactile	#FFF1A9	0.124435422812194
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	6	1		#FEE188	0.229928232250403
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	7	1	somatosensory|stimulation	#FEE188	0.275737273501733
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	8	1	painful|pain	#FEE188	0.241348350802597
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	9	1		#FEE188	0.281859638647115
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	10	1	ratings	#FECB68	0.367301776333138
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	11	1	affective|affect	#FECB68	0.303315972030138
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	12	1	emotions	#FEE188	0.203925355665217
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	13	1	expression|expressions|facial	#FFF1A9	0.116026537959293
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	14	1		#FEE188	0.20014789330028
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	15	1		#FEE188	0.232925215861003
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	16	1	emotion|motion|neutral	#FEE188	0.242752965968645
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	17	1	rating	#FECB68	0.348684786881665
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	18	1	negative|positive	#FECB68	0.380661985844321
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	19	1		#FECB68	0.343225901019769
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	20	1	ear|order	#FEE188	0.275892695039355
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	21	1	motor	#FECB68	0.300844445857114
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	22	1	visual	#FFF1A9	0.163292245737779
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	23	1	age|image|response	#FEE188	0.26216312862709
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	1	2	sound|sounds	#FFFFCC	0.0892206328173171
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	2	2		#FFF1A9	0.113334489019486
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0550171970800393
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	4	2		#FFF1A9	0.168837401962583
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	5	2		#FEE188	0.207240485537083
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	6	2		#FEE188	0.239622962940488
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	7	2	sensation	#FEE188	0.226674461221208
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	8	2	heat|noxious	#FFF1A9	0.193791414285727
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	9	2		#FEE188	0.284295496750025
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	10	2		#FECB68	0.316758950453554
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	11	2		#FECB68	0.307505474940021
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	12	2	valence	#FEE188	0.25617409415193
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	13	2	person|social	#FFF1A9	0.188394232737905
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	14	2		#FEE188	0.206559257775156
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	15	2	face|faces	#FFF1A9	0.146446825710046
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	16	2		#FEE188	0.268884849147175
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	17	2		#FECB68	0.324501760603362
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	18	2		#FECB68	0.356080677278381
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	19	2		#FECB68	0.34665597240015
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	20	2		#FEE188	0.288950634655376
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	21	2	images|spatial	#FEE188	0.232717361412163
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	22	2	control	#FEE188	0.243418947874737
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	23	2	time	#FEE188	0.268516075069507
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.099285798991805
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	2	3	noise|tones	#FFFFCC	0.0959476509199056
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	3	3		#FFF1A9	0.163225972204575
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	4	3		#FEE188	0.205693785368963
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	5	3	frequency	#FEE188	0.250059474329858
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	6	3		#FEE188	0.283968121824569
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	7	3		#FEE188	0.243968401251159
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	8	3	temperature	#FFF1A9	0.193402786988942
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	9	3		#FEE188	0.263403076397734
3d79e10c-9314-39c2-820a-45b6b43d2d18	Potenza MN	10	3	pleasant|unpleasant	#FEE188	0.262534657587736
