UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	1	1	auditory|speech	#FDAD4A	0.49852675382646
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	2	1		#FDAD4A	0.451542947555946
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	3	1	da|integration	#FD913D	0.536785874419645
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	4	1		#FC622F	0.628817200817424
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	5	1	physical|psychophysical|tactile	#FD913D	0.526856730380211
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	6	1		#FD913D	0.551841702997779
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	7	1	somatosensory|stimulation	#FC622F	0.61860925807659
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	8	1	painful|pain	#FEE188	0.266979557253708
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	9	1		#FECB68	0.30485113696511
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	10	1	ratings	#FEE188	0.297953496911264
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	11	1	affective|affect	#FEE188	0.254956534601833
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	12	1	emotions	#FEE188	0.233006156192769
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	13	1	expression|expressions|facial	#FEE188	0.281388462238601
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	14	1		#FECB68	0.34180590849891
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	15	1		#FECB68	0.330045703710572
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	16	1	emotion|motion|neutral	#FEE188	0.286124139320985
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	17	1	rating	#FECB68	0.319115734086491
3fade4bb-a9ef-3de7-9458-d7f5990a9529	Denckla MB	18	1	negative|positive	#FECB68	0.375201135940896
