UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	1	1	auditory|speech	#FEE188	0.214295145100603
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	2	1		#FEE188	0.201258306811218
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	3	1	da|integration	#FEE188	0.293250132591011
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	4	1		#FDAD4A	0.419838782216273
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	5	1	physical|psychophysical|tactile	#FDAD4A	0.466765956691809
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	6	1		#FD913D	0.564824204826689
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	7	1	somatosensory|stimulation	#FDAD4A	0.498274586116617
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	8	1	painful|pain	#FD913D	0.581122808150043
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	9	1		#FC622F	0.640481783941125
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	10	1	ratings	#FC622F	0.625356416522088
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	11	1	affective|affect	#FD913D	0.532083890733857
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	12	1	emotions	#FC622F	0.694956165526148
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	13	1	expression|expressions|facial	#FD913D	0.52541168179717
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	14	1		#FD913D	0.538300408051677
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	15	1		#FD913D	0.515258349367511
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	16	1	emotion|motion|neutral	#FDAD4A	0.429346325682888
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	17	1	rating	#FDAD4A	0.430280739168504
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	18	1	negative|positive	#FECB68	0.316471459090761
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	19	1		#FEE188	0.27305127005279
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	20	1	ear|order	#FFF1A9	0.176972939510269
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	21	1	motor	#FFF1A9	0.159929162798308
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	22	1	visual	#FFFFCC	0
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	23	1	age|image|response	#FFFFCC	0.0511460725467945
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	1	2	sound|sounds	#FFF1A9	0.164095442971976
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	2	2		#FFF1A9	0.19246641773917
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.207078248040345
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	4	2		#FDAD4A	0.41666274358109
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	5	2		#FD913D	0.50378784131335
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	6	2		#FD913D	0.553903115766964
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	7	2	sensation	#FC622F	0.604983490737472
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	8	2	heat|noxious	#FD913D	0.5696322192511
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	9	2		#FC622F	0.622499572713072
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	10	2		#FC622F	0.654993166906884
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	11	2		#FC622F	0.641328782853411
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	12	2	valence	#FC622F	0.612294878917907
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	13	2	person|social	#FDAD4A	0.421963287798287
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	14	2		#FD913D	0.548259027602928
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	15	2	face|faces	#FDAD4A	0.438665923866092
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	16	2		#FDAD4A	0.460390320711888
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	17	2		#FDAD4A	0.430961377524467
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	18	2		#FECB68	0.345648173614002
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	19	2		#FEE188	0.282474799958638
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	20	2		#FFF1A9	0.190086553595122
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	21	2	images|spatial	#FFF1A9	0.140190753128061
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	22	2	control	#FFFFCC	0.0759324997284481
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	23	2	time	#FFFFCC	0.0659752906713672
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.165262568911157
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	2	3	noise|tones	#FEE188	0.209937080594732
41d5df39-8407-3502-8ff2-8b2f3fdc6b21	Taylor TL	3	3		#FECB68	0.33702101271066
