UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	1	1	auditory|speech	#FECB68	0.341120687782147
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	2	1		#FECB68	0.306132552932236
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	3	1	da|integration	#FDAD4A	0.466603859139808
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	4	1		#FECB68	0.365975329627801
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	5	1	physical|psychophysical|tactile	#FEE188	0.260150349480178
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	6	1		#FDAD4A	0.499653198523301
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	7	1	somatosensory|stimulation	#FD913D	0.526098041876575
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	8	1	painful|pain	#FD913D	0.579149324179877
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	9	1		#FD913D	0.57311766092869
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	10	1	ratings	#FDAD4A	0.460198577852504
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	11	1	affective|affect	#FD913D	0.541664624365031
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	12	1	emotions	#FECB68	0.357721333385811
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	13	1	expression|expressions|facial	#FECB68	0.325295400742224
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	14	1		#FDAD4A	0.433417934480934
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	15	1		#FDAD4A	0.461037951242452
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	16	1	emotion|motion|neutral	#FDAD4A	0.451910572659816
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	17	1	rating	#FD913D	0.541807993747629
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	18	1	negative|positive	#FD913D	0.581344502552126
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	19	1		#FC622F	0.644871233147101
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	20	1	ear|order	#FC622F	0.616391186231662
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	21	1	motor	#FD913D	0.549801731698378
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	22	1	visual	#FD913D	0.56247437664951
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	23	1	age|image|response	#FC622F	0.60515494115734
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	1	2	sound|sounds	#FEE188	0.221742986294804
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	2	2		#FEE188	0.256957694706484
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0562799666019692
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	4	2		#FECB68	0.396772752014501
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	5	2		#FDAD4A	0.442810037656685
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	6	2		#FD913D	0.528088780122365
42b71cb1-5b22-3dff-9b9a-5126026fd1b3	Chung SC	7	2	sensation	#FD913D	0.533408071599222
