UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	1	1	auditory|speech	#FECB68	0.305164167614073
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	2	1		#FEE188	0.252234603491965
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	3	1	da|integration	#FECB68	0.32453281994486
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	4	1		#FECB68	0.319396718387068
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	5	1	physical|psychophysical|tactile	#FEE188	0.230525108606662
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	6	1		#FECB68	0.364230710475676
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	7	1	somatosensory|stimulation	#FECB68	0.326712072256126
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	8	1	painful|pain	#FECB68	0.352211032273684
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	9	1		#FDAD4A	0.437899391685353
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	10	1	ratings	#FD913D	0.523231048668139
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	11	1	affective|affect	#FDAD4A	0.492608037065165
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	12	1	emotions	#FDAD4A	0.491702355117815
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	13	1	expression|expressions|facial	#FECB68	0.349566087378477
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	14	1		#FDAD4A	0.460896410411359
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	15	1		#FDAD4A	0.486872700359433
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	16	1	emotion|motion|neutral	#FDAD4A	0.46333511435273
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	17	1	rating	#FD913D	0.529044878615148
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	18	1	negative|positive	#FD913D	0.576779032100276
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	19	1		#FD913D	0.580040351545026
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	20	1	ear|order	#FD913D	0.587144660453145
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	21	1	motor	#FDAD4A	0.402618440299495
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	22	1	visual	#FECB68	0.340462509573477
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	23	1	age|image|response	#FD913D	0.503128670144957
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	1	2	sound|sounds	#FFF1A9	0.168729537521606
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	2	2		#FEE188	0.243387093213646
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.09466168861816
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	4	2		#FECB68	0.337249010906815
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	5	2		#FECB68	0.351183856617399
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	6	2		#FECB68	0.384218600911309
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	7	2	sensation	#FECB68	0.371189387235465
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	8	2	heat|noxious	#FECB68	0.399019670013677
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	9	2		#FDAD4A	0.460084615878467
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	10	2		#FD913D	0.533312594929884
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	11	2		#FD913D	0.534970653668906
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	12	2	valence	#FDAD4A	0.437738154875986
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	13	2	person|social	#FDAD4A	0.415078102203653
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	14	2		#FDAD4A	0.472039278224128
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	15	2	face|faces	#FECB68	0.386727211349277
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	16	2		#FD913D	0.51642531589749
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	17	2		#FD913D	0.558283371474153
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	18	2		#FD913D	0.574885178127054
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	19	2		#FD913D	0.572246785213054
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	20	2		#FD913D	0.511370150788687
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	21	2	images|spatial	#FDAD4A	0.481806343562756
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	22	2	control	#FD913D	0.516187563111123
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	23	2	time	#FDAD4A	0.498987103116577
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.201759306360208
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	2	3	noise|tones	#FEE188	0.220363119999239
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	3	3		#FECB68	0.328336647409572
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	4	3		#FECB68	0.379672682185241
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	5	3	frequency	#FDAD4A	0.423713581878787
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	6	3		#FDAD4A	0.472954225727187
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	7	3		#FDAD4A	0.42463329458266
464d721c-9c0c-3ace-90f7-793a532ab288	Dallapiccola B	8	3	temperature	#FDAD4A	0.45844792592323
