UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	1	1	auditory|speech	#FEE188	0.281740246274457
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	2	1		#FEE188	0.265393265742591
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	3	1	da|integration	#FDAD4A	0.499943197135186
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	4	1		#FD913D	0.507214611089795
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	5	1	physical|psychophysical|tactile	#FDAD4A	0.492626562439342
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	6	1		#FDAD4A	0.4468372659478
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	7	1	somatosensory|stimulation	#FECB68	0.350924072052271
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	8	1	painful|pain	#FEE188	0.247606225862021
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	9	1		#FEE188	0.26713351343458
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	10	1	ratings	#FEE188	0.266623214444287
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	11	1	affective|affect	#FECB68	0.380372106262454
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	12	1	emotions	#FEE188	0.244303514172059
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	13	1	expression|expressions|facial	#FFF1A9	0.182667098440639
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	14	1		#FECB68	0.303269859984564
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	15	1		#FECB68	0.32223844257215
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	16	1	emotion|motion|neutral	#FEE188	0.299291684267375
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	17	1	rating	#FECB68	0.323075265328795
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	18	1	negative|positive	#FDAD4A	0.458672768146046
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	19	1		#FC622F	0.629691451001367
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	20	1	ear|order	#FC622F	0.686862074885714
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	21	1	motor	#FC622F	0.617262753923458
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	22	1	visual	#FC622F	0.627497768553428
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	23	1	age|image|response	#FC622F	0.626147232677979
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	1	2	sound|sounds	#FFF1A9	0.146866004978539
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	2	2		#FEE188	0.234849286114332
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.197901996775913
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	4	2		#FD913D	0.520484510959888
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	5	2		#FD913D	0.535809934818803
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	6	2		#FDAD4A	0.479697441088727
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	7	2	sensation	#FFF1A9	0.181491793056956
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	8	2	heat|noxious	#FEE188	0.203671380578949
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	9	2		#FEE188	0.283097107861617
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	10	2		#FECB68	0.333092520951108
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	11	2		#FECB68	0.337806947288278
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	12	2	valence	#FEE188	0.277413258549826
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	13	2	person|social	#FECB68	0.358944279106375
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	14	2		#FECB68	0.324100716832107
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	15	2	face|faces	#FECB68	0.304298697741897
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	16	2		#FECB68	0.391955251506936
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	17	2		#FDAD4A	0.45429865180782
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	18	2		#FD913D	0.58068021651283
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	19	2		#FC622F	0.675106219513177
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	20	2		#F03623	0.719263538427523
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	21	2	images|spatial	#FC622F	0.672806384567203
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	22	2	control	#F03623	0.722242135228505
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	23	2	time	#FC622F	0.658569676391209
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0706846355481382
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	2	3	noise|tones	#FFF1A9	0.151182654429092
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	3	3		#FECB68	0.366792644939478
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	4	3		#FD913D	0.503646968914129
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	5	3	frequency	#FD913D	0.553858819772417
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	6	3		#FD913D	0.545095482503387
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	7	3		#FECB68	0.315035649445533
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	8	3	temperature	#FEE188	0.236131860112194
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	9	3		#FECB68	0.315460877927311
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	10	3	pleasant|unpleasant	#FEE188	0.247585515010377
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	11	3	anxiety	#FEE188	0.275432500362167
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	12	3		#FDAD4A	0.414962067982012
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	13	3		#FDAD4A	0.462907233315811
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	14	3		#FDAD4A	0.412629205580647
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	15	3		#FDAD4A	0.430608610884131
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	16	3	picture	#FDAD4A	0.486461375919604
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	17	3		#FD913D	0.525927324211538
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	18	3	value	#FC622F	0.679600183866908
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	19	3	cue	#F03623	0.756206148631778
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	20	3	error|target	#F03623	0.797216262980258
4b9137f4-6c5c-3984-adb9-23caa49562d5	Meiran N	21	3	attention	#F03623	0.769359467129902
