UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	1	1	auditory|speech	#FD913D	0.563478950014315
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	2	1		#FDAD4A	0.491138275969998
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	3	1	da|integration	#FC622F	0.633379388095555
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	4	1		#FD913D	0.566213286859486
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	5	1	physical|psychophysical|tactile	#FECB68	0.326194739558085
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	6	1		#FDAD4A	0.40702598696571
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	7	1	somatosensory|stimulation	#FECB68	0.396248527810635
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	8	1	painful|pain	#FEE188	0.202302080400059
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	9	1		#FECB68	0.30470197617104
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	10	1	ratings	#FDAD4A	0.439723537293899
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	11	1	affective|affect	#FD913D	0.5686651858033
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	12	1	emotions	#FDAD4A	0.47534969141541
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	13	1	expression|expressions|facial	#FECB68	0.346184570285889
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	14	1		#FD913D	0.503253464314908
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	15	1		#FD913D	0.513534472579046
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	16	1	emotion|motion|neutral	#FDAD4A	0.484513681631734
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	17	1	rating	#FD913D	0.52050198307524
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	18	1	negative|positive	#FC622F	0.628732160337859
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	19	1		#F03623	0.768213001760377
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	20	1	ear|order	#F03623	0.800481172550831
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	21	1	motor	#FC622F	0.696167304701805
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	22	1	visual	#FC622F	0.644118994671422
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	23	1	age|image|response	#F03623	0.721118066457138
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	1	2	sound|sounds	#FECB68	0.344665858358659
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	2	2		#FDAD4A	0.450442926656007
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.305208408887688
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	4	2		#FD913D	0.588548477709508
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	5	2		#FD913D	0.545600386890823
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	6	2		#FDAD4A	0.455937082006444
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	7	2	sensation	#FEE188	0.214084034658798
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	8	2	heat|noxious	#FFF1A9	0.158366412696726
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	9	2		#FECB68	0.308565967714518
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	10	2		#FDAD4A	0.461638999275187
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	11	2		#FDAD4A	0.499348623284738
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	12	2	valence	#FDAD4A	0.412864782826793
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	13	2	person|social	#FD913D	0.569494174250615
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	14	2		#FD913D	0.52351249279181
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	15	2	face|faces	#FDAD4A	0.454771654506975
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	16	2		#FD913D	0.588875686561273
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	17	2		#FC622F	0.643811541767929
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	18	2		#F03623	0.738379096558437
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	19	2		#F03623	0.789736271689599
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	20	2		#F03623	0.778831305971608
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	21	2	images|spatial	#FC622F	0.697518066808694
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	22	2	control	#F03623	0.755288701723213
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	23	2	time	#F03623	0.739371350563417
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.250236681075068
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	2	3	noise|tones	#FECB68	0.310002744288082
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	3	3		#FC622F	0.606078018777071
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	4	3		#F03623	0.716776054906767
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	5	3	frequency	#FC622F	0.656901293739185
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	6	3		#FC622F	0.687014410850809
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	7	3		#FECB68	0.310340674416276
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	8	3	temperature	#FFF1A9	0.145721465253591
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	9	3		#FECB68	0.31640242285247
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	10	3	pleasant|unpleasant	#FEE188	0.294446770846867
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	11	3	anxiety	#FECB68	0.311562265833386
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	12	3		#FD913D	0.583708696572632
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	13	3		#FC622F	0.673495888789134
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	14	3		#FC622F	0.60830301597884
4bf9bd04-ac68-361d-bd2f-94dc9c966d08	Lee HJ	15	3		#FC622F	0.62131745832542
