UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	1	1	auditory|speech	#B10026	0.979784969050853
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	2	1		#B10026	0.99265929787943
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	3	1	da|integration	#B10026	0.908925774679291
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	4	1		#B10026	0.916549140811666
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	5	1	physical|psychophysical|tactile	#FD913D	0.557138222285908
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	6	1		#F03623	0.709789948335024
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	7	1	somatosensory|stimulation	#FC622F	0.601190967996985
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	8	1	painful|pain	#FD913D	0.595248736186964
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	9	1		#FC622F	0.674567102301125
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	10	1	ratings	#FC622F	0.670332725038345
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	11	1	affective|affect	#FC622F	0.654975046381624
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	12	1	emotions	#FC622F	0.655305027989478
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	13	1	expression|expressions|facial	#FD913D	0.554838327073601
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	14	1		#FC622F	0.643580514042108
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	15	1		#FC622F	0.655487946632869
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	16	1	emotion|motion|neutral	#FC622F	0.641779226377736
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	17	1	rating	#FC622F	0.662265078774357
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	18	1	negative|positive	#FD913D	0.585840687474376
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	19	1		#FC622F	0.636123722876878
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	20	1	ear|order	#FC622F	0.642656274725591
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	21	1	motor	#FDAD4A	0.498779139555375
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	22	1	visual	#FD913D	0.534786159209808
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	23	1	age|image|response	#FC622F	0.626652953539569
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	1	2	sound|sounds	#B10026	0.953006644598175
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	2	2		#B10026	0.997493923127236
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	3	2	audiovisual|bimodal|crossmodal	#D7141E	0.801470157404875
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	4	2		#B10026	0.923901968681072
4e5a35f5-7f8e-38f4-884d-903232bfb397	Dapretto M	5	2		#D7141E	0.844874463676475
